REGISTRY,ETHNIC_GROUP,YEAR,SEX,N_AGR,TOTAL,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85,P_unk
3602,99,1983,1,18,2668049,206719,210283,234512,218949,235345,220431,215996,203089,160403,140178,138465,136943,116434,91948,68299,40333,19816,9906,0
3602,99,1983,2,18,2684910,195970,201548,224802,208100,226987,216114,211278,194619,152424,132720,132501,136561,125987,107112,88948,61216,38935,29088,0
3602,99,1984,1,18,2692083,208612,205866,234914,217884,235558,222960,215902,208920,166961,143605,135751,137860,121592,91386,71131,42152,20826,10203,0
3602,99,1984,2,18,2710646,197872,197349,224680,207402,226505,219231,212742,200378,158657,136625,129761,135990,130373,106693,92085,63937,40441,29925,0
3602,99,1985,1,18,2723253,210812,204166,233774,219899,234483,228369,215056,215866,173238,148465,133594,138168,124655,92721,73381,44235,21521,10850,0
3602,99,1985,2,18,2741259,200609,195189,223119,209185,224979,223438,213942,207420,165181,140638,127695,135321,132950,107631,94255,66578,41278,31851,0
3602,99,1986,1,18,2756990,211978,205612,227319,225854,230126,232913,217404,220857,181363,152164,133614,137862,126988,96881,75136,46617,22728,11574,0
3602,99,1986,2,18,2774538,202032,196028,216825,215706,220572,228009,216414,213278,171925,143907,127858,134028,134181,112026,95771,69568,42512,33898,0
3602,99,1987,1,18,2795919,213461,208553,219918,234170,225792,237712,222547,218220,196392,155688,136463,136117,127938,101212,76749,48594,24180,12213,0
3602,99,1987,2,18,2816325,203809,198994,209856,223505,217457,233151,221193,212937,186010,147433,130326,132291,134258,115923,97462,72420,44509,34791,0
3602,99,1988,1,18,2842852,216054,212794,215719,240382,227088,243487,227743,219461,205867,160173,139040,133918,129764,105739,77051,50525,25355,12692,0
3602,99,1988,2,18,2864457,206094,201885,206361,229550,218916,238727,226198,216118,196195,151501,133444,130879,134324,120192,97642,74748,46248,35435,0
3602,99,1989,1,18,2876807,217875,215396,212610,241692,225632,246098,232298,221249,211810,167191,142310,131527,130835,110232,77189,52927,26501,13435,0
3602,99,1989,2,18,2899476,207639,204353,203410,230169,218267,240867,230661,218875,203157,158185,136830,128919,133827,124799,97383,77671,47921,36543,0
3602,99,1990,1,18,2905892,219099,217330,211119,240053,227442,244627,237807,222592,217207,173683,146730,129449,131153,112505,78738,54763,27667,13928,0
3602,99,1990,2,18,2928129,208635,206559,201335,227744,220162,239519,235204,221565,209285,165279,140116,127480,133460,126573,98919,79476,49719,37099,0
3602,99,1991,1,18,2936262,220957,217989,212918,233126,233399,240250,243724,224661,220929,181031,150530,128917,130452,114568,82445,56481,29022,14863,0
3602,99,1991,2,18,2962469,210502,207574,201858,220938,226915,235975,241403,223547,214834,172826,143926,126892,133025,127196,102864,81233,52117,38844,0
3602,99,1992,1,18,2964481,222885,218784,214334,226068,239905,235432,248025,227938,220418,192090,153975,130739,128296,115760,85876,57787,30334,15835,0
3602,99,1992,2,18,2994226,212156,208823,203468,214241,232704,232577,246282,227215,215545,184243,146812,128802,130766,127104,106122,82721,54142,40503,0
3602,99,1993,1,18,2985865,225342,218935,216621,219221,241570,230262,249513,231979,219147,202598,156044,133781,126358,117191,89715,58423,32404,16761,0
3602,99,1993,2,18,3019015,213585,208951,205477,209095,234222,228153,247712,231505,216629,194587,149381,131697,128273,127730,109493,83103,56677,42745,0
3602,99,1994,1,18,3012102,226058,219563,218677,215822,241993,227566,251477,234888,220950,208459,162483,136661,124791,117871,93975,58701,34368,17799,0
3602,99,1994,2,18,3048088,214150,209671,207649,206018,234545,226780,249130,234844,219764,200931,155714,134521,126309,127007,114155,82513,59700,44687,0
3602,99,1995,1,18,3044428,225751,221645,220718,214495,240704,229743,249822,240459,223213,213919,169423,140750,123719,118360,96225,60582,35860,19040,0
3602,99,1995,2,18,3082553,214507,211396,210148,204495,233856,229314,247646,239977,223140,206945,163055,137121,125694,126520,115978,84286,61400,47075,0
3602,99,1996,1,18,3081044,225288,224299,222372,216359,234578,235915,246593,246509,226751,219654,176284,144457,123508,119029,98092,64061,37068,20227,0
3602,99,1996,2,18,3123684,214002,213920,212007,206369,228714,236664,245083,246612,227153,213602,169624,140822,125398,126433,117234,87561,62680,49806,0
3602,99,1997,1,18,3114709,224811,226372,222759,219532,229053,241615,241851,250760,231888,217725,189262,147928,125622,118640,99349,67793,38076,21673,0
3602,99,1997,2,18,3158075,213680,215131,212997,208826,223353,243107,241448,250462,231932,213559,181924,144347,127003,125189,117356,91576,63780,52405,0
3602,99,1998,1,18,3145483,224476,229544,224185,218840,221587,243762,237354,254583,234811,219088,200778,153051,129502,118233,101810,71601,39155,23123,0
3602,99,1998,2,18,3193588,213280,218311,213818,207966,215732,246280,238631,254863,236035,218002,193330,148717,130148,123871,118274,96018,65260,55052,0
3602,99,1999,1,18,3181260,223617,231768,225892,221259,218499,245324,235993,256553,238543,221957,207153,160084,133317,117154,103974,75378,40086,24709,0
3602,99,1999,2,18,3230110,212896,219794,215692,210302,212148,247927,238251,256665,240204,221730,200666,154990,133768,122098,118688,100171,65814,58306,0
3602,99,2000,1,18,3219101,223364,232664,228406,224682,217974,245010,237793,255893,243324,223798,213087,166859,138196,116082,105370,77877,42292,26430,0
3602,99,2000,2,18,3267112,212248,220812,217827,214103,211077,247422,240000,255711,244599,224723,207920,161449,137200,121266,118405,102665,68156,61529,0
3602,99,2001,1,18,3264203,224974,233030,231342,228969,219919,239314,244720,254341,249137,226179,218706,174186,141836,116978,106751,80205,45588,28028,0
3602,99,2001,2,18,3311014,213086,220990,220821,218197,212719,241462,248361,253112,250299,227525,215107,168272,140535,121568,118705,103805,72230,64220,0
3602,99,2002,1,18,3295915,221727,231322,233753,230122,224176,234441,251130,249808,254504,229889,217426,185862,145040,119507,106896,81888,48639,29785,0
3602,99,2002,2,18,3338195,209998,219545,222365,219024,215476,235186,254762,248713,255317,230346,215417,180476,143193,123633,117855,104309,75377,67203,0
3602,99,2003,1,18,3309435,220874,228739,235484,230545,228486,230763,253999,243564,256122,232891,215782,194557,146888,121018,104822,83495,51010,30396,0
3602,99,2003,2,18,3363142,209312,218023,223122,220861,221090,231582,258847,244762,257648,234907,215632,190121,145463,125597,115365,104750,77774,68286,0
3602,99,2004,1,18,3325371,219753,226955,235866,230951,232203,228934,253857,239901,256441,236090,216347,199245,151745,123490,103368,85146,53606,31473,0
3602,99,2004,2,18,3381818,207742,216708,223308,221438,224657,228981,258344,242502,258313,238861,217410,195996,150768,128348,113344,104935,80573,69590,0
3602,99,2005,1,18,3347837,220338,226062,235094,232510,236205,229202,252117,240172,254127,238969,217528,203729,157291,126567,102519,86173,55605,33629,0
3602,99,2005,2,18,3408620,208041,215756,223355,221826,228927,229107,256945,243234,256569,242856,219943,201823,157110,130954,112431,104559,82793,72391,0
3602,99,2006,1,18,3375500,223986,225931,233516,234487,239288,233794,246572,244439,250046,242050,219921,206542,163531,128607,103177,86586,57304,35723,0
3602,99,2006,2,18,3440587,212195,215442,222129,223186,232860,232922,250727,249097,252546,247193,223091,206363,163621,133240,112420,104303,83696,75556,0
3602,99,2007,1,18,3420484,225403,225057,232646,241174,244645,241399,242424,250383,245381,245817,223667,204965,174945,131948,105676,87006,59320,38628,0
3602,99,2007,2,18,3484458,213255,214852,221781,226866,236864,239470,246747,255859,248668,251690,227246,206354,175439,136575,114774,103806,84571,79641,0
