   Year      Age       Female          Male         Total
   1947        0        51968.20     55088.83    107057.03 
   1947        1        46708.31     48662.71     95371.02 
   1947        2        47960.64     49384.98     97345.62 
   1947        3        52098.80     53643.69    105742.49 
   1947        4        55122.40     56966.79    112089.19 
   1947        5        59316.01     61446.84    120762.85 
   1947        6        64308.70     66637.62    130946.33 
   1947        7        63839.36     66128.37    129967.73 
   1947        8        55485.56     57488.46    112974.02 
   1947        9        46275.94     47985.36     94261.31 
   1947       10        42563.58     44137.43     86701.02 
   1947       11        42567.21     44078.59     86645.79 
   1947       12        43314.06     45126.73     88440.78 
   1947       13        44350.82     47031.09     91381.91 
   1947       14        45627.56     49077.88     94705.44 
   1947       15        46997.01     50817.10     97814.12 
   1947       16        48276.25     52204.29    100480.54 
   1947       17        49103.59     52751.17    101854.76 
   1947       18        49602.72     52431.41    102034.13 
   1947       19        50529.76     51410.13    101939.89 
   1947       20        52654.74     50025.14    102679.88 
   1947       21        55812.05     48860.04    104672.09 
   1947       22        58743.90     47916.87    106660.78 
   1947       23        60735.45     47481.90    108217.35 
   1947       24        61810.22     47786.21    109596.43 
   1947       25        61898.05     47756.25    109654.30 
   1947       26        59692.78     45824.79    105517.57 
   1947       27        52659.04     40629.58     93288.61 
   1947       28        42306.54     33380.57     75687.11 
   1947       29        35128.87     28365.15     63494.03 
   1947       30        34727.53     28059.84     62787.38 
   1947       31        40369.81     32250.75     72620.55 
   1947       32        49130.30     39104.92     88235.22 
   1947       33        55960.64     44908.83    100869.47 
   1947       34        58682.79     47694.35    106377.14 
   1947       35        59297.43     48573.89    107871.32 
   1947       36        59886.88     49216.35    109103.23 
   1947       37        60468.93     50006.40    110475.33 
   1947       38        60237.51     50265.16    110502.67 
   1947       39        59838.57     50218.03    110056.59 
   1947       40        59718.34     50718.76    110437.11 
   1947       41        59287.63     51656.26    110943.88 
   1947       42        58806.49     52315.83    111122.32 
   1947       43        58633.21     52498.78    111131.99 
   1947       44        58506.13     52682.28    111188.41 
   1947       45        58073.05     52560.69    110633.74 
