   Year      Age       Female          Male         Total
   1959        0        95794.26    100864.11    196658.37 
   1959        1        92881.69     96856.41    189738.10 
   1959        2        91936.71     96090.79    188027.50 
   1959        3        91348.28     95494.47    186842.75 
   1959        4        89080.94     93173.15    182254.09 
   1959        5        84047.96     87351.34    171399.30 
   1959        6        80992.66     83987.95    164980.61 
   1959        7        80984.09     84511.90    165495.99 
   1959        8        81197.66     84813.24    166010.90 
   1959        9        81043.58     83945.95    164989.53 
   1959       10        80187.74     82507.28    162695.02 
   1959       11        76574.52     78756.79    155331.31 
   1959       12        69320.75     71502.63    140823.38 
   1959       13        55454.72     57648.70    113103.42 
   1959       14        48783.85     50191.58     98975.43 
   1959       15        49664.59     50038.75     99703.34 
   1959       16        53293.71     52691.67    105985.38 
   1959       17        65613.31     62518.54    128131.84 
   1959       18        75728.36     69769.93    145498.29 
   1959       19        78627.99     72120.91    150748.89 
   1959       20        83164.22     73460.84    156625.05 
   1959       21        84683.36     74771.20    159454.55 
   1959       22        83056.50     73464.00    156520.50 
   1959       23        79836.32     69663.81    149500.13 
   1959       24        71635.78     62805.88    134441.65 
   1959       25        71227.40     60633.35    131860.74 
   1959       26        79134.50     66521.61    145656.11 
   1959       27        76784.74     67497.18    144281.92 
   1959       28        78955.34     71820.66    150776.00 
   1959       29        81598.05     72081.24    153679.29 
   1959       30        82749.06     70180.18    152929.24 
   1959       31        81344.02     68199.16    149543.18 
   1959       32        75394.91     57631.82    133026.73 
   1959       33        76620.42     51818.62    128439.04 
   1959       34        72788.00     47077.28    119865.27 
   1959       35        71725.38     45405.64    117131.02 
   1959       36        68607.96     43511.02    112118.98 
   1959       37        54744.25     36082.65     90826.90 
   1959       38        48145.28     32203.99     80349.27 
   1959       39        45445.97     29317.19     74763.16 
   1959       40        44257.38     27291.04     71548.43 
   1959       41        39739.83     24505.16     64244.99 
   1959       42        32608.96     20520.08     53129.03 
   1959       43        39078.89     23362.30     62441.19 
   1959       44        47920.03     27587.10     75507.13 
   1959       45        53230.85     31069.84     84300.68 
   1959       46        54664.15     32592.77     87256.92 
   1959       47        51615.26     31735.03     83350.29 
   1959       48        55075.76     33090.40     88166.15 
   1959       49        53851.67     32564.25     86415.92 
   1959       50        50642.90     32126.09     82768.99 
   1959       51        50050.34     33114.09     83164.43 
   1959       52        44317.66     31824.44     76142.10 
   1959       53        44963.10     31090.08     76053.18 
   1959       54        44323.64     29835.26     74158.91 
   1959       55        47917.04     29781.70     77698.74 
   1959       56        49542.29     28479.26     78021.55 
   1959       57        42664.55     23956.44     66620.99 
   1959       58        49347.49     25106.27     74453.76 
   1959       59        45421.46     23904.83     69326.29 
   1959       60        39938.34     21044.95     60983.29 
   1959       61        37491.82     20775.11     58266.93 
   1959       62        28755.93     18953.18     47709.11 
   1959       63        32516.47     20155.78     52672.24 
   1959       64        30842.17     19073.99     49916.15 
   1959       65        33537.47     19378.43     52915.90 
   1959       66        32656.19     19116.33     51772.52 
   1959       67        27789.74     16580.44     44370.18 
   1959       68        28542.61     15516.98     44059.59 
   1959       69        24650.79     12890.74     37541.53 
   1959       70        32791.52     14080.04     46871.55 
   1959       71        30358.81     14024.65     44383.46 
   1959       72        17249.72     10540.42     27790.14 
   1959       73        18024.01     10471.89     28495.90 
   1959       74        15781.15      9478.02     25259.18 
   1959       75        17318.42      9437.15     26755.57 
   1959       76        16299.22      8730.89     25030.11 
   1959       77        11439.62      6817.22     18256.83 
   1959       78        11163.77      6480.04     17643.81 
   1959       79         9341.38      5403.72     14745.10 
   1959       80         8736.67      4151.12     12887.79 
   1959       81         6865.57      3272.42     10138.00 
   1959       82         6013.20      2884.14      8897.34 
   1959       83         5560.27      2531.10      8091.37 
   1959       84         5209.88      2242.13      7452.00 
   1959       85         4285.51      1862.10      6147.61 
   1959       86         3328.55      1493.51      4822.05 
   1959       87         2764.40      1222.51      3986.91 
   1959       88         2588.81      1055.97      3644.79 
   1959       89         2374.95       902.72      3277.68 
   1959       90         1657.45       624.89      2282.34 
   1959       91         1143.80       399.77      1543.57 
   1959       92          963.81       308.81      1272.62 
   1959       93          801.71       259.02      1060.73 
   1959       94          767.19       232.11       999.29 
   1959       95          655.61       195.36       850.97 
   1959       96          443.86       152.54       596.40 
   1959       97          368.42       110.41       478.84 
   1959       98          310.04        80.58       390.62 
   1959       99          203.25        60.60       263.85 
   1959      100          155.78        45.17       200.95 
   1959      101          118.25        33.32       151.57 
   1959      102           89.04        24.14       113.18 
   1959      103           66.54        17.49        84.03 
   1959      104           49.05        12.68        61.73 
   1959      105           35.16         9.17        44.33 
   1959      106           24.95         6.65        31.60 
   1959      107           18.08         4.58        22.65 
   1959      108           12.95         2.83        15.78 
   1959      109            9.17         1.66        10.83 
   1959      110          13.17         0.61        13.78 
   1960        0        95487.17    101150.39    196637.56 
   1960        1        94413.04     99062.08    193475.12 
   1960        2        92702.28     96665.70    189367.98 
   1960        3        91983.71     96109.68    188093.39 
   1960        4        91205.80     95330.08    186535.87 
   1960        5        88942.24     92995.01    181937.24 
   1960        6        83795.00     87086.04    170881.04 
   1960        7        80715.56     83740.76    164456.32 
   1960        8        80538.21     84061.33    164599.54 
   1960        9        80759.75     84469.98    165229.73 
   1960       10        80437.36     83376.18    163813.54 
   1960       11        79922.78     82217.54    162140.32 
   1960       12        75846.88     77927.08    153773.96 
