   Year      Age       Female          Male         Total
   1841        0        61006.15     62948.23    123954.38 
   1841        1        55072.53     56064.21    111136.73 
   1841        2        51480.76     52521.70    104002.46 
   1841        3        48750.57     49506.71     98257.28 
   1841        4        47014.08     47861.81     94875.89 
   1841        5        45112.89     46273.61     91386.51 
   1841        6        44050.55     45311.30     89361.85 
   1841        7        43063.59     44497.04     87560.63 
   1841        8        42225.21     43793.85     86019.06 
   1841        9        41894.68     43669.93     85564.61 
   1841       10        41300.45     43554.58     84855.03 
   1841       11        41052.02     42680.39     83732.41 
   1841       12        41021.76     40230.00     81251.76 
   1841       13        39630.36     38173.89     77804.26 
   1841       14        39745.94     38710.29     78456.23 
   1841       15        40739.08     40822.12     81561.21 
   1841       16        40877.18     41982.04     82859.22 
   1841       17        41402.89     41947.04     83349.94 
   1841       18        41025.14     41217.45     82242.58 
   1841       19        40001.69     40428.47     80430.17 
   1841       20        37928.11     38785.36     76713.47 
   1841       21        35813.25     36502.31     72315.55 
   1841       22        33953.99     34581.46     68535.45 
   1841       23        31450.57     31878.42     63328.99 
   1841       24        33023.22     33314.49     66337.72 
   1841       25        32922.39     33292.88     66215.27 
   1841       26        30592.92     30600.48     61193.40 
   1841       27        31117.71     30889.16     62006.88 
   1841       28        30321.61     30179.89     60501.50 
   1841       29        30622.84     30901.23     61524.07 
   1841       30        31635.16     32543.34     64178.50 
   1841       31        30404.19     30752.74     61156.94 
   1841       32        29494.01     29140.32     58634.32 
   1841       33        29106.72     29193.99     58300.72 
   1841       34        30618.74     31505.40     62124.14 
   1841       35        29358.31     30577.41     59935.72 
   1841       36        26086.42     27042.47     53128.89 
   1841       37        25991.76     26821.86     52813.62 
   1841       38        25685.01     26523.09     52208.10 
   1841       39        27234.55     28437.10     55671.65 
   1841       40        28826.39     30534.83     59361.22 
   1841       41        27194.84     28345.12     55539.96 
   1841       42        25559.58     25890.52     51450.10 
   1841       43        24953.24     25355.83     50309.07 
   1841       44        26280.28     26715.95     52996.23 
   1841       45        24638.24     24448.87     49087.11 
   1841       46        20563.62     19222.59     39786.21 
