   Year      Age       Female          Male         Total
   1947        0        75500.82     79559.90    155060.72 
   1947        1        68520.45     71372.68    139893.13 
   1947        2        62048.31     64432.96    126481.27 
   1947        3        60480.30     62717.47    123197.77 
   1947        4        61794.92     64090.09    125885.01 
   1947        5        60754.64     63321.97    124076.61 
   1947        6        59847.67     62282.37    122130.04 
   1947        7        57862.45     60025.42    117887.87 
   1947        8        57350.86     59348.22    116699.08 
   1947        9        59327.37     61704.44    121031.81 
   1947       10        62097.37     64739.57    126836.95 
   1947       11        63659.72     66415.95    130075.68 
   1947       12        67665.89     70347.45    138013.33 
   1947       13        70094.42     72730.93    142825.35 
   1947       14        70250.47     72838.56    143089.04 
   1947       15        68601.68     71274.26    139875.95 
   1947       16        68357.94     71352.10    139710.04 
   1947       17        68619.83     71222.00    139841.83 
   1947       18        68810.27     70124.95    138935.22 
   1947       19        69380.39     70723.13    140103.52 
   1947       20        71828.10     73142.44    144970.54 
   1947       21        73530.80     77440.04    150970.85 
   1947       22        72539.43     76105.16    148644.59 
   1947       23        71095.79     70409.67    141505.46 
   1947       24        70000.63     68019.82    138020.45 
   1947       25        69336.73     68303.02    137639.75 
   1947       26        66791.84     66285.81    133077.65 
   1947       27        59507.25     59920.13    119427.38 
   1947       28        44513.63     44690.28     89203.91 
   1947       29        31181.79     30614.99     61796.78 
   1947       30        31523.50     30539.45     62062.95 
   1947       31        46338.80     45960.19     92298.99 
   1947       32        59600.35     61423.62    121023.96 
   1947       33        50514.10     51844.52    102358.61 
   1947       34        49511.98     49570.26     99082.24 
   1947       35        55919.30     57374.30    113293.60 
   1947       36        54377.42     56734.18    111111.60 
   1947       37        53889.07     55980.18    109869.25 
   1947       38        51282.76     52735.25    104018.01 
   1947       39        50449.01     52148.91    102597.92 
   1947       40        52120.43     53151.41    105271.84 
   1947       41        51048.41     52554.80    103603.21 
   1947       42        47777.13     49778.22     97555.35 
   1947       43        45752.00     47447.21     93199.21 
   1947       44        42941.24     44629.21     87570.45 
   1947       45        41451.03     42470.24     83921.26 
   1947       46        44316.86     44473.52     88790.37 
   1947       47        40762.75     41024.84     81787.60 
   1947       48        35573.04     35961.40     71534.44 
   1947       49        34538.14     35643.88     70182.02 
   1947       50        35009.39     35273.90     70283.28 
   1947       51        34056.32     33145.19     67201.51 
   1947       52        30620.00     30493.39     61113.39 
   1947       53        27039.61     26864.18     53903.79 
   1947       54        25168.62     24207.89     49376.51 
   1947       55        28270.24     23914.86     52185.10 
   1947       56        32974.60     23385.80     56360.40 
   1947       57        31494.33     21500.31     52994.63 
   1947       58        29026.98     22932.53     51959.52 
   1947       59        26548.55     23413.31     49961.86 
   1947       60        28770.28     23647.24     52417.52 
   1947       61        32348.87     27544.57     59893.44 
   1947       62        29142.35     26540.21     55682.55 
   1947       63        24811.28     22201.59     47012.87 
   1947       64        21881.87     21467.31     43349.18 
   1947       65        22083.38     20968.72     43052.10 
   1947       66        23314.36     20016.90     43331.26 
   1947       67        19839.40     17200.71     37040.11 
   1947       68        15879.80     14155.55     30035.34 
   1947       69        13945.65     13189.47     27135.12 
   1947       70        15239.81     12783.92     28023.74 
   1947       71        14714.28     11456.10     26170.39 
   1947       72        10628.80      9344.13     19972.93 
   1947       73         8858.93      8258.88     17117.81 
   1947       74         7303.76      7359.35     14663.11 
   1947       75         8103.42      7225.00     15328.42 
   1947       76         9678.13      8188.92     17867.05 
   1947       77         7706.12      7257.80     14963.92 
   1947       78         5253.91      5625.40     10879.31 
   1947       79         4318.60      4554.19      8872.78 
   1947       80         4275.25      4088.57      8363.82 
   1947       81         4341.30      4069.44      8410.74 
   1947       82         3792.41      3706.30      7498.71 
   1947       83         3042.93      3075.86      6118.78 
   1947       84         2347.86      2283.93      4631.80 
   1947       85         2354.90      2113.09      4467.98 
   1947       86         2589.86      2266.07      4855.93 
   1947       87         1896.53      1745.11      3641.64 
   1947       88          994.47       996.24      1990.71 
   1947       89          817.55       781.88      1599.43 
   1947       90          914.82       730.50      1645.32 
   1947       91          795.26       655.39      1450.65 
   1947       92          487.13       480.38       967.52 
   1947       93          398.15       365.56       763.71 
   1947       94          302.07       277.13       579.20 
   1947       95          292.49       241.63       534.12 
   1947       96          312.03       264.83       576.86 
   1947       97          211.12       196.00       407.12 
   1947       98          114.50        95.09       209.59 
