   Year      Age       Female          Male         Total
   1921        0       105448.04    108386.48    213834.52 
   1921        1       105916.45    107909.12    213825.57 
   1921        2       107370.01    109253.09    216623.10 
   1921        3       108040.49    109856.30    217896.79 
   1921        4       107882.86    109672.88    217555.74 
   1921        5       107002.01    108802.09    215804.10 
   1921        6       105525.99    107328.28    212854.28 
   1921        7       103542.92    105334.26    208877.18 
   1921        8       101152.49    102943.49    204095.97 
   1921        9        98416.84    100202.71    198619.55 
   1921       10        95343.86     97102.59    192446.45 
   1921       11        92266.61     93975.17    186241.78 
   1921       12        89683.15     91319.17    181002.32 
   1921       13        87655.56     89183.42    176838.98 
   1921       14        85790.58     87204.93    172995.51 
   1921       15        83873.11     85223.52    169096.62 
   1921       16        81977.70     83188.43    165166.13 
   1921       17        80125.61     80863.66    160989.27 
   1921       18        78331.88     78267.65    156599.52 
   1921       19        76604.30     75694.28    152298.59 
   1921       20        74929.19     73227.35    148156.54 
   1921       21        73409.50     71127.20    144536.70 
   1921       22        72214.62     69917.95    142132.57 
   1921       23        71318.61     69596.01    140914.62 
   1921       24        70546.37     69641.83    140188.20 
   1921       25        69843.18     69791.69    139634.88 
   1921       26        69109.53     69953.19    139062.72 
   1921       27        68116.98     69868.76    137985.74 
   1921       28        66857.00     69491.90    136348.90 
   1921       29        65527.76     69049.85    134577.60 
   1921       30        64170.76     68608.72    132779.48 
   1921       31        62913.62     68293.22    131206.84 
   1921       32        62032.65     68395.64    130428.29 
   1921       33        61500.87     68855.50    130356.37 
   1921       34        61048.22     69376.85    130425.07 
   1921       35        60558.58     69831.31    130389.89 
   1921       36        59837.38     69849.14    129686.52 
   1921       37        58502.99     68833.26    127336.25 
   1921       38        56547.22     66729.25    123276.47 
   1921       39        54372.05     64216.18    118588.22 
   1921       40        52194.52     61655.41    113849.93 
   1921       41        50071.16     59109.00    109180.16 
   1921       42        48143.48     56874.95    105018.44 
   1921       43        46411.52     54976.35    101387.86 
   1921       44        44755.55     53180.06     97935.62 
   1921       45        43043.50     51255.96     94299.46 
   1921       46        41375.90     49315.72     90691.62 
   1921       47        39895.31     47523.86     87419.17 
   1921       48        38578.84     45845.25     84424.09 
   1921       49        37349.79     44238.44     81588.23 
   1921       50        36167.53     42675.19     78842.73 
   1921       51        34980.78     41065.76     76046.54 
   1921       52        33615.53     39215.37     72830.90 
   1921       53        32061.44     37092.26     69153.69 
   1921       54        30494.25     34943.08     65437.32 
   1921       55        28936.91     32809.79     61746.70 
   1921       56        27511.21     30856.79     58368.00 
   1921       57        26462.58     29489.06     55951.64 
   1921       58        25752.13     28692.60     54444.73 
   1921       59        25162.51     28088.55     53251.06 
   1921       60        24574.19     27489.42     52063.61 
   1921       61        23878.70     26788.15     50666.84 
   1921       62        22880.96     25693.20     48574.16 
   1921       63        21537.49     24133.56     45671.05 
   1921       64        20115.16     22492.56     42607.72 
   1921       65        18712.99     20886.77     39599.77 
   1921       66        17351.38     19323.05     36674.43 
   1921       67        16188.26     17956.31     34144.57 
   1921       68        15172.91     16719.06     31891.98 
   1921       69        14220.77     15559.67     29780.44 
   1921       70        13269.91     14388.04     27657.95 
   1921       71        12325.17     13237.88     25563.05 
   1921       72        11415.08     12139.25     23554.33 
   1921       73        10489.72     11025.25     21514.97 
   1921       74         9608.91      9965.10     19574.01 
   1921       75         8762.78      8957.74     17720.52 
   1921       76         7930.00      7989.31     15919.31 
   1921       77         7159.19      7107.03     14266.22 
   1921       78         6415.79      6297.32     12713.11 
   1921       79         6032.70      5641.09     11673.79 
   1921       80         5699.79      5071.80     10771.59 
   1921       81         4977.38      4395.87      9373.25 
   1921       82         4227.07      3686.05      7913.11 
   1921       83         3610.10      3136.39      6746.48 
   1921       84         3121.77      2697.62      5819.39 
   1921       85         2627.80      2186.28      4814.08 
   1921       86         2170.20      1716.58      3886.78 
   1921       87         1776.91      1378.96      3155.87 
   1921       88         1404.87      1092.55      2497.42 
   1921       89         1091.51       833.18      1924.69 
   1921       90          870.95       637.02      1507.97 
   1921       91          690.06       484.19      1174.25 
   1921       92          518.45       365.26       883.72 
   1921       93          373.76       268.82       642.59 
   1921       94          274.67       196.78       471.45 
   1921       95          205.04       144.69       349.73 
   1921       96          156.50       104.82       261.32 
   1921       97          112.69        75.99       188.68 
   1921       98           70.58        51.67       122.25 
   1921       99           46.39        37.18        83.57 
   1921      100           32.71        28.37        61.08 
   1921      101           20.96        18.94        39.89 
   1921      102           13.18        12.39        25.57 
   1921      103            7.85         7.83        15.67 
   1921      104            4.30         4.88         9.18 
   1921      105            2.09         2.96         5.05 
   1921      106            0.77         1.76         2.53 
   1921      107            0.17         1.03         1.21 
   1921      108            0.00         0.32         0.32 
   1921      109            0.00         0.00         0.00 
   1921      110           0.00         0.00         0.00 
   1922        0       102398.79    104373.66    206772.45 
   1922        1       104660.67    106554.90    211215.57 
   1922        2       106569.25    108502.58    215071.83 
   1922        3       107591.53    109551.74    217143.27 
   1922        4       107792.29    109763.66    217555.95 
   1922        5       107269.73    109236.83    216506.55 
   1922        6       106128.95    108071.66    214200.60 
   1922        7       104466.65    106371.42    210838.07 
   1922        8       102383.24    104230.21    206613.45 
   1922        9        99980.60    101755.77    201736.37 
   1922       10        97251.42     98930.66    196182.08 
   1922       11        94199.79     95742.89    189942.67 
   1922       12        91435.68     92859.43    184295.11 
   1922       13        89265.32     90601.41    179866.73 
   1922       14        87482.03     88735.69    176217.72 
   1922       15        85585.80     86764.53    172350.33 
   1922       16        83695.18     84870.68    168565.86 
   1922       17        81820.90     82745.98    164566.88 
   1922       18        79926.70     80214.66    160141.36 
   1922       19        78063.06     77508.24    155571.29 
   1922       20        76284.19     74977.06    151261.25 
   1922       21        74533.67     72471.69    147005.36 
   1922       22        73060.88     70648.92    143709.80 
   1922       23        71987.57     69837.96    141825.52 
   1922       24        71172.48     69714.36    140886.84 
   1922       25        70384.60     69617.51    140002.11 
   1922       26        69690.86     69678.93    139369.80 
   1922       27        68838.75     69645.73    138484.48 
   1922       28        67680.69     69325.48    137006.17 
   1922       29        66348.33     68849.66    135197.98 
   1922       30        65058.50     68455.91    133514.41 
   1922       31        63702.41     67992.41    131694.82 
   1922       32        62604.86     67841.65    130446.51 
   1922       33        61926.38     68183.20    130109.58 
   1922       34        61472.35     68749.89    130222.24 
   1922       35        60927.36     69178.74    130106.10 
   1922       36        60414.55     69636.06    130050.61 
   1922       37        59458.32     69297.47    128755.79 
   1922       38        57809.43     67740.08    125549.51 
   1922       39        55710.97     65378.81    121089.78 
   1922       40        53658.43     63044.13    116702.56 
   1922       41        51561.48     60575.50    112136.98 
   1922       42        49567.38     58256.53    107823.91 
   1922       43        47803.51     56316.53    104120.04 
   1922       44        46193.49     54607.66    100801.15 
   1922       45        44526.91     52750.80     97277.71 
   1922       46        42831.88     50809.02     93640.90 
   1922       47        41241.91     48940.49     90182.40 
   1922       48        39791.40     47179.11     86970.51 
   1922       49        38438.10     45485.79     83923.90 
   1922       50        37116.63     43820.81     80937.45 
   1922       51        35862.52     42242.45     78104.97 
   1922       52        34533.90     40489.69     75023.59 
   1922       53        33056.41     38441.82     71498.23 
   1922       54        31513.14     36252.64     67765.78 
   1922       55        30016.81     34127.51     64144.32 
