   Year      Age       Female          Male         Total
   1992        0       136726.71    143033.81    279760.52 
   1992        1       135428.43    141636.42    277064.84 
   1992        2       137948.38    143975.88    281924.26 
   1992        3       143843.09    149959.35    293802.44 
   1992        4       146966.36    153620.32    300586.68 
   1992        5       137095.23    142883.10    279978.33 
   1992        6       124686.81    128709.96    253396.77 
   1992        7       120853.99    124710.94    245564.93 
   1992        8       119695.89    123562.23    243258.12 
   1992        9       122703.35    126300.28    249003.63 
   1992       10       126928.88    130782.46    257711.35 
   1992       11       124575.58    129085.03    253660.61 
   1992       12       119851.04    123836.58    243687.62 
   1992       13       117219.44    120108.07    237327.51 
   1992       14       116002.90    119509.97    235512.87 
   1992       15       114743.63    118591.34    233334.97 
   1992       16       115909.40    119352.92    235262.32 
   1992       17       121265.85    125139.62    246405.47 
   1992       18       124874.78    128696.00    253570.79 
   1992       19       123760.27    124930.01    248690.28 
   1992       20       121791.79    120135.85    241927.64 
   1992       21       120919.45    119505.91    240425.37 
   1992       22       120286.94    119492.60    239779.54 
   1992       23       121827.68    119847.76    241675.45 
   1992       24       123525.71    120296.00    243821.71 
   1992       25       123801.54    119602.51    243404.04 
   1992       26       124610.59    119700.10    244310.69 
   1992       27       126248.78    121467.07    247715.85 
   1992       28       125527.95    121333.27    246861.22 
   1992       29       124480.69    120143.71    244624.40 
   1992       30       123774.65    118631.63    242406.28 
   1992       31       118569.67    113588.56    232158.23 
   1992       32       116443.31    111358.41    227801.72 
   1992       33       114414.92    110401.89    224816.81 
   1992       34       106714.97    103348.09    210063.05 
   1992       35       102683.19     97834.01    200517.20 
   1992       36       100167.64     94464.86    194632.50 
   1992       37        96613.98     90785.99    187399.97 
   1992       38        93472.99     88177.28    181650.27 
   1992       39        88823.39     84449.59    173272.98 
   1992       40        84002.60     79216.79    163219.38 
   1992       41        80089.95     76152.71    156242.66 
   1992       42        81756.51     78575.36    160331.87 
   1992       43        79840.34     75658.29    155498.64 
   1992       44        71757.17     67114.82    138871.98 
   1992       45        68848.34     63751.45    132599.79 
   1992       46        68588.61     64567.31    133155.92 
   1992       47        68379.98     65166.12    133546.09 
   1992       48        66295.51     62760.86    129056.37 
   1992       49        63396.47     59611.93    123008.40 
   1992       50        61484.46     56719.84    118204.31 
   1992       51        58563.80     54797.06    113360.85 
   1992       52        58050.83     55200.32    113251.15 
   1992       53        55745.72     51612.70    107358.42 
   1992       54        51019.97     45853.08     96873.06 
   1992       55        49431.04     43853.74     93284.78 
   1992       56        47697.01     43080.40     90777.40 
   1992       57        45948.15     42071.94     88020.10 
   1992       58        45270.00     41078.52     86348.52 
   1992       59        45777.58     40249.52     86027.10 
   1992       60        47250.51     39568.01     86818.53 
   1992       61        45971.10     39570.42     85541.52 
   1992       62        46596.58     41091.92     87688.50 
   1992       63        46525.62     39910.17     86435.79 
   1992       64        43089.93     37300.55     80390.48 
   1992       65        41217.86     35894.24     77112.10 
   1992       66        36865.79     31484.51     68350.29 
   1992       67        32984.08     27909.36     60893.44 
   1992       68        30646.39     25502.14     56148.53 
   1992       69        28224.48     22875.28     51099.75 
   1992       70        27728.44     21986.44     49714.88 
   1992       71        26448.28     21166.31     47614.59 
   1992       72        25977.66     20655.93     46633.59 
   1992       73        25188.29     19088.60     44276.89 
   1992       74        22966.27     16887.65     39853.92 
   1992       75        22339.24     16087.04     38426.28 
   1992       76        20899.72     14896.56     35796.29 
   1992       77        19116.60     13616.32     32732.92 
   1992       78        18212.65     12684.77     30897.42 
   1992       79        16957.64     11331.49     28289.13 
   1992       80        16359.19     10599.42     26958.61 
   1992       81        14625.24      9314.65     23939.88 
   1992       82        12953.25      7941.43     20894.68 
   1992       83        11286.76      6664.67     17951.43 
   1992       84         9823.57      5609.32     15432.89 
   1992       85         8610.66      4624.15     13234.81 
   1992       86         7412.16      3681.38     11093.54 
   1992       87         6116.95      2925.32      9042.28 
   1992       88         4999.49      2355.90      7355.38 
   1992       89         4104.74      1862.37      5967.10 
   1992       90         3309.98      1454.53      4764.51 
   1992       91         2604.80      1110.20      3715.00 
   1992       92         1967.14       793.14      2760.28 
   1992       93         1422.41       526.70      1949.10 
   1992       94         1047.96       340.17      1388.14 
   1992       95          774.68       238.42      1013.10 
   1992       96          540.94       176.64       717.58 
   1992       97          373.14       112.98       486.12 
   1992       98          253.29        68.69       321.98 
   1992       99          162.93        47.65       210.58 
   1992      100          103.23        30.54       133.77 
   1992      101           67.82        17.45        85.27 
   1992      102           45.41        11.89        57.30 
   1992      103           29.16        10.81        39.97 
   1992      104           17.59         7.03        24.62 
   1992      105           10.92         2.90        13.82 
   1992      106            5.87         1.26         7.13 
   1992      107            2.92         0.51         3.42 
   1992      108            1.18         0.13         1.30 
   1992      109            0.37         0.00         0.37 
   1992      110           0.05         0.00         0.05 
   1993        0       134767.11    140981.93    275749.04 
   1993        1       136319.64    142393.74    278713.38 
   1993        2       135764.35    141898.34    277662.69 
   1993        3       138386.88    144379.52    282766.40 
   1993        4       143605.99    149646.77    293252.76 
   1993        5       146087.25    152625.53    298712.79 
   1993        6       136748.63    142372.38    279121.01 
   1993        7       125127.61    129121.04    254248.65 
   1993        8       120903.02    124935.80    245838.82 
   1993        9       119794.49    123877.77    243672.25 
   1993       10       122767.43    126464.90    249232.33 
   1993       11       126806.05    130507.25    257313.30 
   1993       12       124420.38    128755.45    253175.83 
   1993       13       119788.26    123735.22    243523.47 
   1993       14       117178.31    120028.77    237207.08 
   1993       15       115814.16    119129.55    234943.71 
   1993       16       114515.73    118030.23    232545.96 
   1993       17       115963.15    118970.89    234934.04 
   1993       18       121336.60    124760.11    246096.72 
   1993       19       124779.19    128258.85    253038.04 
   1993       20       123651.13    124639.73    248290.86 
   1993       21       121906.83    120219.04    242125.87 
   1993       22       120911.23    119440.94    240352.17 
   1993       23       120213.78    119252.82    239466.60 
   1993       24       121830.40    119782.23    241612.63 
   1993       25       123251.12    120062.73    243313.86 
   1993       26       123548.84    119328.05    242876.90 
   1993       27       124640.40    119688.15    244328.55 
   1993       28       126453.60    121566.13    248019.73 
   1993       29       125749.10    121476.00    247225.10 
   1993       30       124624.40    120318.81    244943.21 
   1993       31       123760.69    118582.10    242342.79 
   1993       32       118619.35    113571.90    232191.25 
   1993       33       116802.05    111765.24    228567.29 
   1993       34       114732.68    110642.11    225374.79 
   1993       35       106441.70    102911.75    209353.45 
   1993       36       102254.58     97429.63    199684.21 
   1993       37        99881.30     94238.90    194120.21 
   1993       38        96404.20     90693.88    187098.08 
   1993       39        93266.33     88123.30    181389.63 
   1993       40        88559.73     84264.12    172823.84 
   1993       41        83827.43     79031.15    162858.58 
   1993       42        79988.50     76069.83    156058.33 
   1993       43        81655.74     78533.15    160188.89 
   1993       44        79715.66     75596.81    155312.48 
   1993       45        71726.98     67135.67    138862.65 
   1993       46        68753.83     63750.45    132504.28 
   1993       47        68276.05     64356.42    132632.48 
   1993       48        67967.77     64800.72    132768.49 
   1993       49        65882.60     62369.82    128252.41 
   1993       50        63105.43     59255.34    122360.77 
   1993       51        61242.14     56337.46    117579.60 
   1993       52        58261.13     54358.36    112619.49 
   1993       53        57673.45     54720.06    112393.51 
   1993       54        55435.94     51231.16    106667.10 
   1993       55        50854.76     45658.06     96512.82 
   1993       56        49467.47     43846.70     93314.17 
   1993       57        47718.55     42974.67     90693.22 
   1993       58        45657.56     41664.90     87322.46 
   1993       59        44881.33     40562.22     85443.56 
   1993       60        45192.28     39548.47     84740.75 
   1993       61        46613.14     38942.52     85555.66 
   1993       62        45401.09     38959.17     84360.26 
   1993       63        46085.87     40418.06     86503.93 
   1993       64        45950.54     39168.63     85119.17 
   1993       65        42477.71     36450.37     78928.08 
   1993       66        40455.05     34924.69     75379.74 
   1993       67        36119.46     30579.89     66699.34 
   1993       68        32359.45     27099.81     59459.26 
   1993       69        30044.06     24754.17     54798.23 
   1993       70        27673.72     22185.50     49859.22 
   1993       71        27080.67     21197.40     48278.08 
   1993       72        25748.82     20294.26     46043.08 
   1993       73        25223.36     19707.17     44930.53 
   1993       74        24364.89     18124.37     42489.26 
   1993       75        22156.77     15961.90     38118.67 
   1993       76        21471.62     15119.96     36591.57 
   1993       77        20019.91     13955.37     33975.28 
   1993       78        18278.31     12714.55     30992.85 
   1993       79        17321.91     11733.70     29055.60 
   1993       80        17442.97     11270.09     28713.06 
   1993       81        15349.71      9678.00     25027.70 
   1993       82        13593.31      8409.01     22002.33 
   1993       83        11920.03      7068.03     18988.06 
   1993       84        10325.12      5855.63     16180.75 
   1993       85         8910.45      4880.54     13790.99 
   1993       86         7721.61      3971.20     11692.81 
   1993       87         6575.31      3109.45      9684.77 
   1993       88         5354.57      2458.20      7812.77 
   1993       89         4304.08      1947.85      6251.92 
   1993       90         3469.59      1515.36      4984.95 
   1993       91         2756.21      1167.42      3923.64 
   1993       92         2134.49       871.92      3006.41 
   1993       93         1582.50       620.51      2203.01 
   1993       94         1128.35       403.36      1531.71 
   1993       95          811.86       254.69      1066.55 
   1993       96          579.31       180.25       759.56 
   1993       97          398.65       127.76       526.41 
   1993       98          275.06        78.56       353.62 
   1993       99          179.63        46.95       226.58 
   1993      100          110.49        30.83       141.32 
   1993      101           68.52        21.62        90.14 
   1993      102           45.44        11.17        56.61 
   1993      103           32.77         7.20        39.97 
   1993      104           19.69         7.04        26.73 
   1993      105           10.44         4.06        14.50 
   1993      106            6.49         1.76         8.26 
   1993      107            3.23         0.68         3.91 
   1993      108            1.36         0.14         1.50 
   1993      109            0.39         0.00         0.39 
   1993      110           0.00         0.00         0.00 
   1994        0       133060.82    138954.82    272015.64 
   1994        1       134310.10    140300.25    274610.35 
   1994        2       136412.46    142360.36    278772.82 
   1994        3       136291.88    142376.26    278668.14 
   1994        4       138883.28    144841.88    283725.16 
   1994        5       143247.11    149211.82    292458.93 
   1994        6       145016.24    151406.87    296423.11 
   1994        7       136544.59    141967.44    278512.03 
   1994        8       125586.42    129578.25    255164.66 
   1994        9       120969.25    125221.68    246190.92 
   1994       10       119925.76    124272.13    244197.88 
   1994       11       122821.80    126606.43    249428.24 
   1994       12       126650.59    130158.76    256809.35 
   1994       13       124254.04    128400.84    252654.89 
   1994       14       119719.59    123631.08    243350.68 
   1994       15       117126.67    119921.34    237048.01 
   1994       16       115549.62    118621.59    234171.21 
   1994       17       114301.30    117385.15    231686.45 
   1994       18       116053.14    118514.44    234567.58 
   1994       19       121419.71    124320.76    245740.47 
   1994       20       124650.00    127739.80    252389.81 
   1994       21       123573.53    124377.64    247951.17 
   1994       22       122063.85    120367.96    242431.80 
   1994       23       120879.05    119335.44    240214.49 
   1994       24       120183.46    119044.03    239227.50 
   1994       25       121802.17    119725.65    241527.83 
   1994       26       122921.01    119791.73    242712.74 
   1994       27       123300.21    119067.28    242367.49 
   1994       28       124719.89    119727.52    244447.41 
   1994       29       126710.03    121703.63    248413.66 
   1994       30       126023.81    121688.76    247712.57 
   1994       31       124774.40    120543.57    245317.97 
   1994       32       123753.08    118543.54    242296.62 
   1994       33       118714.49    113628.31    232342.80 
   1994       34       117278.96    112327.83    229606.79 
   1994       35       115040.35    110835.70    225876.06 
   1994       36       106091.87    102413.66    208505.52 
   1994       37       101779.41     97006.28    198785.69 
   1994       38        99549.25     94009.04    193558.29 
   1994       39        96184.18     90630.48    186814.65 
   1994       40        93023.90     88064.17    181088.07 
   1994       41        88263.85     84059.87    172323.72 
   1994       42        83637.85     78841.71    162479.56 
   1994       43        79903.60     76029.58    155933.18 
   1994       44        81540.71     78526.83    160067.54 
   1994       45        79579.00     75549.00    155128.00 
   1994       46        71706.00     67192.87    138898.87 
   1994       47        68615.43     63751.43    132366.86 
   1994       48        67898.98     64101.13    132000.11 
   1994       49        67482.08     64370.58    131852.66 
   1994       50        65427.88     61932.97    127360.85 
   1994       51        62783.09     58873.31    121656.40 
   1994       52        60984.64     55915.15    116899.79 
   1994       53        57922.22     53852.51    111774.73 
   1994       54        57254.16     54169.66    111423.82 
   1994       55        55123.91     50813.37    105937.28 
   1994       56        50690.18     45487.85     96178.03 
   1994       57        49566.19     43911.79     93477.99 
   1994       58        47717.63     42830.09     90547.72 
   1994       59        45355.53     41229.72     86585.25 
   1994       60        44428.67     39957.60     84386.27 
   1994       61        44515.47     38793.19     83308.67 
   1994       62        45875.35     38295.78     84171.12 
   1994       63        44804.42     38346.25     83150.67 
   1994       64        45544.29     39734.73     85279.02 
   1994       65        45351.96     38412.37     83764.32 
   1994       66        41808.34     35538.32     77346.66 
   1994       67        39624.01     33847.92     73471.93 
   1994       68        35360.19     29608.88     64969.07 
   1994       69        31677.58     26263.84     57941.42 
   1994       70        29424.36     24012.09     53436.45 
   1994       71        27115.49     21487.40     48602.88 
   1994       72        26410.50     20373.63     46784.13 
   1994       73        25045.16     19389.90     44435.06 
   1994       74        24438.85     18734.77     43173.62 
   1994       75        23517.16     17138.88     40656.04 
   1994       76        21329.52     15018.20     36347.72 
