   Year      Age       Female          Male         Total
   1950        0        86643.99     91341.71    177985.71 
   1950        1        85901.42     89774.62    175676.04 
   1950        2        89300.43     93200.64    182501.07 
   1950        3        90120.08     93639.73    183759.81 
   1950        4        82125.38     84759.59    166884.97 
   1950        5        75925.20     78150.68    154075.88 
   1950        6        75978.51     78521.35    154499.85 
   1950        7        71603.57     74261.86    145865.43 
   1950        8        65848.45     68337.55    134186.00 
   1950        9        63172.82     65496.65    128669.48 
   1950       10        59969.10     61670.35    121639.44 
   1950       11        56057.89     57258.08    113315.97 
   1950       12        53721.28     54828.95    108550.23 
   1950       13        53094.61     54106.59    107201.21 
   1950       14        53732.29     54528.45    108260.74 
   1950       15        55754.03     56612.42    112366.45 
   1950       16        58280.65     59937.18    118217.83 
   1950       17        61259.93     63157.06    124416.99 
   1950       18        64362.59     65993.68    130356.27 
   1950       19        67199.05     68854.79    136053.84 
   1950       20        68125.40     69537.61    137663.01 
   1950       21        67939.98     69071.40    137011.38 
   1950       22        68536.15     70501.58    139037.73 
   1950       23        69912.24     73311.04    143223.28 
   1950       24        72039.83     73045.03    145084.86 
   1950       25        74010.69     71070.80    145081.49 
   1950       26        76309.40     72822.22    149131.63 
   1950       27        77301.40     74235.38    151536.78 
   1950       28        76902.38     73890.19    150792.57 
   1950       29        73131.99     70391.05    143523.04 
   1950       30        63446.58     60878.02    124324.60 
   1950       31        46137.10     44131.08     90268.18 
   1950       32        34559.25     33292.12     67851.38 
   1950       33        36663.26     35498.76     72162.02 
   1950       34        45377.25     43545.19     88922.45 
   1950       35        61734.47     58849.44    120583.91 
   1950       36        73077.55     69937.75    143015.30 
   1950       37        74224.25     71479.29    145703.54 
   1950       38        74389.15     72149.49    146538.64 
   1950       39        75459.43     73458.66    148918.10 
   1950       40        76277.08     74106.87    150383.96 
   1950       41        75537.42     73512.83    149050.25 
   1950       42        73876.54     72062.80    145939.34 
   1950       43        73387.63     71296.33    144683.96 
   1950       44        71259.81     68746.94    140006.75 
   1950       45        69479.43     66787.43    136266.86 
   1950       46        69704.18     67120.44    136824.62 
   1950       47        69506.08     66875.92    136382.00 
   1950       48        68982.88     65880.34    134863.21 
   1950       49        67494.51     63361.85    130856.35 
   1950       50        65429.93     60094.59    125524.53 
   1950       51        63063.34     56150.55    119213.89 
   1950       52        60931.04     52924.79    113855.84 
   1950       53        59361.67     50362.80    109724.47 
   1950       54        57675.20     47836.44    105511.65 
   1950       55        55020.48     45319.37    100339.85 
   1950       56        52042.58     42556.35     94598.93 
   1950       57        49266.46     39867.08     89133.54 
   1950       58        47225.01     38363.93     85588.95 
   1950       59        45466.53     37018.29     82484.82 
   1950       60        43835.79     35151.28     78987.07 
   1950       61        43243.34     34089.40     77332.74 
   1950       62        42086.60     32990.09     75076.70 
   1950       63        40218.02     31561.05     71779.08 
   1950       64        38687.42     30289.44     68976.85 
   1950       65        37434.60     29100.25     66534.85 
   1950       66        35551.80     27597.60     63149.40 
   1950       67        33940.05     26314.81     60254.86 
   1950       68        31901.78     24490.15     56391.94 
   1950       69        29458.96     22547.38     52006.35 
   1950       70        28354.56     21663.17     50017.73 
   1950       71        27294.22     20591.19     47885.42 
   1950       72        24755.79     18667.33     43423.12 
   1950       73        22329.43     16789.66     39119.09 
   1950       74        21008.37     15560.56     36568.93 
   1950       75        19527.79     14421.11     33948.90 
   1950       76        17790.01     13119.00     30909.01 
   1950       77        15690.95     11396.21     27087.16 
   1950       78        13368.23      9960.21     23328.44 
   1950       79        11731.91      8881.22     20613.13 
   1950       80        10274.24      7516.54     17790.78 
   1950       81         8770.02      6271.12     15041.14 
   1950       82         7271.82      5162.35     12434.17 
   1950       83         6023.07      4141.07     10164.14 
   1950       84         4891.53      3251.78      8143.31 
   1950       85         3849.95      2493.90      6343.84 
   1950       86         3127.57      1919.93      5047.50 
   1950       87         2404.05      1459.54      3863.59 
   1950       88         1722.70      1079.29      2802.00 
   1950       89         1303.28       753.48      2056.76 
   1950       90          976.35       537.50      1513.85 
   1950       91          678.95       371.51      1050.46 
   1950       92          446.80       241.67       688.47 
   1950       93          298.49       152.08       450.57 
   1950       94          184.59        81.06       265.65 
   1950       95          103.16        48.80       151.96 
   1950       96           66.16        31.50        97.66 
   1950       97           37.16        15.73        52.89 
   1950       98           17.33         8.84        26.17 
   1950       99           11.20         4.00        15.19 
   1950      100            8.44         2.00        10.44 
   1950      101            2.36         1.12         3.48 
   1950      102            0.27         0.26         0.53 
   1950      103            0.00         0.00         0.00 
   1950      104            0.00         0.00         0.00 
   1950      105            0.00         0.00         0.00 
   1950      106            0.00         0.00         0.00 
   1950      107            0.00         0.00         0.00 
   1950      108            0.00         0.00         0.00 
   1950      109            0.00         0.00         0.00 
   1950      110           0.00         0.00         0.00 
   1951        0        86761.10     91726.68    178487.78 
   1951        1        84695.91     88888.02    173583.93 
   1951        2        85611.58     89448.93    175060.51 
   1951        3        89179.23     93057.14    182236.37 
   1951        4        90090.49     93570.28    183660.78 
   1951        5        82117.51     84735.03    166852.54 
   1951        6        75921.80     78142.85    154064.65 
   1951        7        75988.76     78513.46    154502.22 
   1951        8        71636.70     74273.91    145910.61 
   1951        9        65916.37     68391.57    134307.95 
   1951       10        63267.04     65589.27    128856.31 
   1951       11        60060.51     61762.18    121822.68 
   1951       12        56140.88     57344.55    113485.43 
   1951       13        53812.75     54937.12    108749.87 
   1951       14        53199.63     54236.31    107435.95 
   1951       15        53843.24     54655.99    108499.24 
   1951       16        55835.43     56682.53    112517.97 
   1951       17        58309.41     59925.89    118235.29 
   1951       18        61254.39     63073.44    124327.83 
   1951       19        64341.43     65845.54    130186.97 
   1951       20        67140.31     68653.01    135793.32 
   1951       21        68016.31     69262.22    137278.53 
   1951       22        67820.06     68752.51    136572.57 
   1951       23        68413.23     70033.08    138446.31 
   1951       24        69781.93     72625.35    142407.28 
   1951       25        71892.85     72472.61    144365.46 
   1951       26        73823.32     70757.83    144581.16 
   1951       27        76101.67     72519.41    148621.09 
   1951       28        77113.71     73903.69    151017.40 
   1951       29        76729.12     73566.23    150295.34 
   1951       30        72951.72     70075.51    143027.23 
   1951       31        63293.66     60604.48    123898.14 
   1951       32        46024.12     43917.93     89942.04 
   1951       33        34471.67     33141.09     67612.76 
   1951       34        36558.71     35333.48     71892.18 
   1951       35        45249.85     43336.03     88585.88 
   1951       36        61569.90     58573.87    120143.77 
   1951       37        72864.88     69619.26    142484.13 
   1951       38        74013.47     71160.19    145173.66 
   1951       39        74170.67     71818.37    145989.04 
   1951       40        75228.58     73106.27    148334.86 
   1951       41        76021.58     73719.00    149740.58 
   1951       42        75279.20     73099.86    148379.06 
   1951       43        73630.90     71644.49    145275.39 
   1951       44        73116.45     70847.80    143964.25 
   1951       45        70951.43     68278.13    139229.57 
   1951       46        69155.79     66326.16    135481.95 
   1951       47        69386.64     66613.37    136000.02 
   1951       48        69171.93     66292.87    135464.81 
   1951       49        68613.21     65233.71    133846.92 
   1951       50        67088.27     62684.96    129773.23 
   1951       51        65011.64     59411.08    124422.73 
   1951       52        62638.51     55436.93    118075.44 
   1951       53        60475.81     52189.60    112665.40 
   1951       54        58881.47     49580.06    108461.53 
   1951       55        57178.22     47013.40    104191.62 
   1951       56        54473.45     44510.47     98983.92 
   1951       57        51529.75     41752.32     93282.06 
   1951       58        48724.62     39033.05     87757.67 
   1951       59        46643.67     37517.53     84161.20 
   1951       60        44846.33     36099.16     80945.49 
   1951       61        43162.32     34157.21     77319.54 
   1951       62        42479.29     33072.18     75551.48 
   1951       63        41244.23     31951.57     73195.80 
   1951       64        39336.57     30478.28     69814.85 
   1951       65        37758.53     29128.03     66886.55 
   1951       66        36427.89     27929.49     64357.38 
   1951       67        34542.44     26406.63     60949.07 
   1951       68        32858.71     25091.79     57950.50 
   1951       69        30808.24     23278.03     54086.27 
   1951       70        28286.35     21303.04     49589.39 
   1951       71        27077.93     20365.88     47443.81 
   1951       72        25870.48     19217.85     45088.33 
   1951       73        23378.23     17317.11     40695.34 
   1951       74        20933.37     15474.60     36407.96 
   1951       75        19496.33     14219.90     33716.22 
   1951       76        17935.31     13077.17     31012.48 
   1951       77        16235.54     11825.86     28061.40 
   1951       78        14166.19     10165.14     24331.33 
   1951       79        11965.49      8804.03     20769.52 
   1951       80        10452.80      7696.61     18149.41 
   1951       81         8963.07      6468.20     15431.27 
   1951       82         7545.84      5302.97     12848.81 
   1951       83         6219.48      4295.71     10515.19 
   1951       84         5028.72      3360.45      8389.17 
   1951       85         4028.20      2590.85      6619.04 
   1951       86         3133.77      1952.14      5085.92 
   1951       87         2481.23      1474.02      3955.26 
   1951       88         1851.04      1086.14      2937.18 
   1951       89         1291.20       785.08      2076.28 
   1951       90          963.28       532.61      1495.89 
   1951       91          721.18       379.48      1100.67 
   1951       92          485.28       249.33       734.61 
   1951       93          311.80       162.16       473.96 
   1951       94          198.66        97.08       295.73 
   1951       95          113.09        49.72       162.80 
   1951       96           65.66        30.63        96.29 
   1951       97           41.32        19.67        60.99 
   1951       98           23.99         7.73        31.72 
   1951       99            9.00         4.67        13.67 
   1951      100            6.20         2.16         8.35 
   1951      101            4.11         0.83         4.94 
   1951      102            0.74         0.00         0.74 
