   Year      Age       Female          Male         Total
   1835        0        17789.32     18477.69     36267.01 
   1835        1        15431.99     15730.76     31162.75 
   1835        2        14136.94     14373.96     28510.90 
   1835        3        13247.14     13446.53     26693.67 
   1835        4        12985.10     13186.90     26172.00 
   1835        5        12973.28     13199.79     26173.07 
   1835        6        12990.31     13231.89     26222.21 
   1835        7        13165.84     13406.74     26572.58 
   1835        8        13438.00     13684.06     27122.06 
   1835        9        13633.15     13875.37     27508.51 
   1835       10        13871.95     13966.30     27838.26 
   1835       11        13946.59     13913.84     27860.43 
   1835       12        13742.49     13736.12     27478.61 
   1835       13        13498.14     13517.38     27015.52 
   1835       14        13223.85     13253.39     26477.24 
   1835       15        13059.67     12983.23     26042.90 
   1835       16        12920.07     12741.43     25661.49 
   1835       17        12676.83     12499.00     25175.83 
   1835       18        12333.83     12149.48     24483.31 
   1835       19        11770.12     11576.83     23346.95 
   1835       20        11022.38     10840.64     21863.01 
   1835       21        10423.44     10244.76     20668.20 
   1835       22        10122.44      9917.26     20039.69 
   1835       23         9958.63      9729.83     19688.46 
   1835       24         9825.30      9583.18     19408.48 
   1835       25         9497.97      9280.30     18778.27 
   1835       26         9211.59      9024.63     18236.22 
   1835       27         9179.80      9002.62     18182.42 
   1835       28         9179.55      9017.74     18197.29 
   1835       29         9170.97      9035.44     18206.41 
   1835       30         9244.62      9209.32     18453.93 
   1835       31         9231.35      9289.69     18521.03 
   1835       32         9025.75      9105.84     18131.59 
   1835       33         8798.36      8899.59     17697.95 
   1835       34         8538.42      8643.14     17181.57 
   1835       35         8251.85      8185.93     16437.78 
   1835       36         7962.24      7747.47     15709.72 
   1835       37         7716.07      7530.49     15246.57 
   1835       38         7509.55      7352.50     14862.05 
   1835       39         7290.12      7148.01     14438.13 
   1835       40         7312.40      7015.83     14328.23 
   1835       41         7320.05      6890.97     14211.02 
   1835       42         7061.73      6676.02     13737.75 
   1835       43         6784.22      6438.75     13222.97 
   1835       44         6463.62      6150.66     12614.28 
   1835       45         6089.53      5755.26     11844.78 
   1835       46         5793.62      5429.31     11222.93 
   1835       47         5631.10      5270.61     10901.71 
   1835       48         5514.63      5150.11     10664.74 
   1835       49         5445.86      5070.73     10516.58 
   1835       50         5463.61      5054.18     10517.79 
   1835       51         5462.19      5029.11     10491.31 
   1835       52         5379.68      4956.03     10335.71 
   1835       53         5289.38      4879.69     10169.07 
   1835       54         5197.20      4798.66      9995.86 
   1835       55         5119.32      4689.81      9809.12 
   1835       56         5030.42      4570.70      9601.11 
   1835       57         4907.95      4453.92      9361.87 
   1835       58         4749.39      4299.16      9048.55 
   1835       59         4521.18      4076.10      8597.28 
   1835       60         4289.75      3811.05      8100.79 
   1835       61         4082.70      3573.45      7656.15 
   1835       62         3870.05      3372.14      7242.19 
   1835       63         3678.51      3189.87      6868.38 
   1835       64         3520.62      3034.63      6555.25 
   1835       65         3386.97      2900.42      6287.39 
   1835       66         3261.64      2768.43      6030.08 
   1835       67         3136.74      2628.37      5765.10 
   1835       68         2992.94      2472.37      5465.31 
   1835       69         2820.58      2299.68      5120.26 
   1835       70         2601.58      2115.42      4717.00 
   1835       71         2377.10      1932.29      4309.39 
   1835       72         2180.69      1760.96      3941.65 
   1835       73         2021.18      1612.73      3633.92 
   1835       74         1866.53      1472.22      3338.75 
   1835       75         1691.50      1329.43      3020.92 
   1835       76         1530.87      1196.44      2727.31 
   1835       77         1379.52      1068.31      2447.84 
   1835       78         1232.49       942.47      2174.96 
   1835       79         1088.62       819.73      1908.36 
   1835       80          948.56       701.16      1649.73 
   1835       81          814.50       587.77      1402.28 
   1835       82          690.65       483.44      1174.09 
   1835       83          579.45       391.59       971.05 
   1835       84          480.28       312.61       792.89 
   1835       85          391.04       246.40       637.44 
   1835       86          311.25       192.79       504.04 
   1835       87          241.09       149.23       390.32 
   1835       88          181.72       113.26       294.98 
   1835       89          133.80        83.86       217.66 
   1835       90           96.62        60.53       157.16 
   1835       91           69.71        42.72       112.42 
   1835       92           51.76        29.59        81.35 
   1835       93           39.79        20.73        60.52 
   1835       94           30.85        14.81        45.66 
   1835       95           23.11        10.52        33.63 
   1835       96           16.13         7.62        23.76 
   1835       97           10.52         5.38        15.90 
   1835       98            6.31         3.37         9.68 
   1835       99            3.24         2.00         5.24 
   1835      100            1.36         1.22         2.57 
   1835      101            0.47         0.86         1.32 
   1835      102            0.17         0.78         0.95 
   1835      103            0.14         0.95         1.08 
   1835      104            0.19         0.92         1.11 
   1835      105            0.29         0.40         0.69 
   1835      106            0.36         0.03         0.40 
   1835      107            0.36         0.00         0.36 
   1835      108            0.26         0.00         0.26 
   1835      109            0.08         0.00         0.08 
   1835      110           0.00         0.00         0.00 
   1836        0        17981.00     18548.66     36529.66 
   1836        1        15964.44     16178.39     32142.83 
   1836        2        14801.66     15026.85     29828.50 
   1836        3        13703.26     13898.02     27601.28 
   1836        4        12982.74     13179.17     26161.91 
   1836        5        12799.03     13009.06     25808.10 
   1836        6        12808.70     13038.85     25847.55 
   1836        7        12839.11     13078.61     25917.72 
   1836        8        13027.61     13263.64     26291.25 
   1836        9        13312.36     13553.65     26866.01 
   1836       10        13520.79     13760.58     27281.37 
   1836       11        13769.36     13865.12     27634.48 
   1836       12        13853.16     13824.69     27677.86 
   1836       13        13656.32     13656.06     27312.37 
   1836       14        13417.31     13443.41     26860.72 
   1836       15        13146.51     13183.14     26329.64 
   1836       16        12984.50     12913.64     25898.15 
   1836       17        12846.19     12671.35     25517.54 
   1836       18        12603.47     12426.99     25030.46 
   1836       19        12260.22     12074.10     24334.31 
   1836       20        11695.16     11495.73     23190.89 
   1836       21        10946.46     10756.21     21702.66 
   1836       22        10346.17     10157.38     20503.55 
   1836       23        10043.89      9828.65     19872.53 
   1836       24         9878.85      9641.72     19520.58 
   1836       25         9744.29      9496.82     19241.11 
   1836       26         9416.00      9196.66     18612.66 
   1836       27         9128.73      8942.80     18071.52 
   1836       28         9096.21      8921.75     18017.96 
   1836       29         9095.40      8936.98     18032.38 
   1836       30         9086.34      8954.21     18040.55 
   1836       31         9159.36      9126.18     18285.55 
   1836       32         9144.96      9203.96     18348.93 
   1836       33         8937.68      9016.58     17954.26 
   1836       34         8708.06      8805.84     17513.90 
   1836       35         8445.66      8544.84     16990.50 
   1836       36         8156.47      8082.41     16238.88 
   1836       37         7865.36      7641.26     15506.62 
   1836       38         7618.71      7423.78     15042.49 
