   Year      Age       Female          Male         Total
   1959        0         9383.55      9979.80     19363.36 
   1959        1         9114.67      9657.77     18772.44 
   1959        2         9122.21      9579.34     18701.55 
   1959        3         9476.91      9838.35     19315.26 
   1959        4         9661.78     10046.58     19708.36 
   1959        5         9350.38      9815.60     19165.98 
   1959        6         9274.75      9719.36     18994.11 
   1959        7         9317.18      9815.11     19132.29 
   1959        8         9065.80      9644.23     18710.03 
   1959        9         9127.67      9691.82     18819.49 
   1959       10         9307.21      9801.26     19108.47 
   1959       11         9011.13      9458.38     18469.50 
   1959       12         8655.77      9040.52     17696.29 
   1959       13         7879.62      8143.49     16023.10 
   1959       14         7107.69      7257.04     14364.74 
   1959       15         7000.63      7166.20     14166.83 
   1959       16         7585.33      7781.45     15366.78 
   1959       17         9039.95      9145.68     18185.62 
   1959       18         9434.28      9494.38     18928.66 
   1959       19         9307.15      9316.69     18623.84 
   1959       20         9883.92     10065.22     19949.15 
   1959       21        10234.34     10724.11     20958.45 
   1959       22        10343.31     10376.08     20719.40 
   1959       23         9959.01      9713.10     19672.11 
   1959       24         9407.46      9293.33     18700.80 
   1959       25         9576.48      9136.60     18713.08 
   1959       26        10363.78      9592.62     19956.39 
   1959       27        10860.97      9968.25     20829.22 
   1959       28        11157.61     10348.77     21506.38 
   1959       29        11149.64     10289.44     21439.08 
   1959       30        11543.27     10039.15     21582.41 
   1959       31        11483.85      9766.92     21250.76 
   1959       32        11132.12      8969.76     20101.87 
   1959       33        11226.08      7956.16     19182.25 
   1959       34        10855.89      7138.88     17994.78 
   1959       35        10896.08      6947.95     17844.03 
   1959       36        10628.82      6650.03     17278.85 
   1959       37         9723.48      6131.27     15854.75 
   1959       38         8721.15      5803.10     14524.25 
   1959       39         7598.44      5312.59     12911.03 
   1959       40         7349.85      5254.39     12604.24 
   1959       41         6654.73      4766.57     11421.30 
   1959       42         6146.80      4337.77     10484.57 
   1959       43         7211.81      5114.15     12325.96 
   1959       44         8266.79      5834.49     14101.27 
   1959       45         8988.02      6243.17     15231.19 
   1959       46         9196.89      6404.89     15601.78 
   1959       47         9128.19      6395.17     15523.36 
   1959       48         9390.48      6447.19     15837.67 
   1959       49         9347.76      6382.57     15730.33 
   1959       50         9009.09      6092.37     15101.46 
   1959       51         8827.94      5945.35     14773.29 
   1959       52         8815.12      6123.44     14938.56 
   1959       53         8773.24      6013.04     14786.28 
   1959       54         8566.23      5740.03     14306.26 
   1959       55         8713.04      5789.22     14502.26 
   1959       56         8622.62      5714.85     14337.47 
   1959       57         8211.50      5342.32     13553.82 
   1959       58         8542.99      5083.88     13626.86 
   1959       59         8432.93      4893.22     13326.15 
   1959       60         7812.18      4569.90     12382.08 
   1959       61         7395.61      4209.13     11604.74 
   1959       62         7069.77      3910.75     10980.53 
   1959       63         7217.84      3761.88     10979.72 
   1959       64         6830.12      3444.53     10274.65 
   1959       65         6567.02      3253.33      9820.35 
   1959       66         6522.85      3214.25      9737.10 
   1959       67         6243.59      3129.26      9372.85 
   1959       68         6046.79      3067.78      9114.58 
   1959       69         5816.73      2891.51      8708.24 
   1959       70         5718.64      2681.02      8399.66 
   1959       71         5224.18      2426.47      7650.65 
   1959       72         4815.57      2216.41      7031.97 
   1959       73         4852.52      2124.99      6977.51 
   1959       74         4504.13      1926.76      6430.89 
   1959       75         4129.87      1767.36      5897.23 
   1959       76         3750.73      1595.87      5346.60 
   1959       77         3273.15      1349.39      4622.54 
   1959       78         3026.00      1193.57      4219.57 
   1959       79         2797.25      1071.77      3869.02 
   1959       80         2446.15       914.61      3360.76 
   1959       81         2146.92       786.15      2933.07 
   1959       82         1841.42       667.43      2508.86 
   1959       83         1580.25       566.02      2146.27 
   1959       84         1396.46       485.11      1881.57 
   1959       85         1163.43       394.62      1558.05 
   1959       86          908.08       302.85      1210.93 
   1959       87          714.56       223.16       937.73 
   1959       88          555.36       160.97       716.34 
   1959       89          390.36       112.75       503.12 
   1959       90          269.00        76.37       345.37 
   1959       91          208.61        61.62       270.22 
   1959       92          161.49        45.84       207.33 
   1959       93          115.22        29.68       144.90 
   1959       94           81.44        22.72       104.16 
   1959       95           60.90        13.73        74.63 
   1959       96           41.69         7.67        49.36 
   1959       97           23.16         5.13        28.29 
   1959       98           12.01         2.47        14.48 
   1959       99            6.77         2.15         8.91 
   1959      100            3.93         1.31         5.24 
   1959      101            1.83         0.00         1.83 
   1959      102            0.63         0.00         0.63 
   1959      103            0.06         0.00         0.06 
   1959      104            0.00         0.00         0.00 
   1959      105            0.00         0.00         0.00 
   1959      106            0.00         0.00         0.00 
   1959      107            0.00         0.00         0.00 
   1959      108            0.00         0.00         0.00 
   1959      109            0.00         0.00         0.00 
   1959      110           0.00         0.00         0.00 
   1960        0         9551.51     10131.58     19683.08 
   1960        1         9329.31      9889.72     19219.02 
   1960        2         9129.82      9669.00     18798.82 
   1960        3         9153.36      9600.25     18753.61 
   1960        4         9497.79      9849.45     19347.24 
   1960        5         9673.39     10054.88     19728.27 
