   Year      Age       Female          Male         Total
   1816        0       408224.22    426130.39    834354.60 
   1816        1       382452.09    399821.07    782273.16 
   1816        2       351453.99    363400.89    714854.89 
   1816        3       337733.12    349089.95    686823.06 
   1816        4       331575.93    342626.56    674202.49 
   1816        5       313553.96    326521.43    640075.40 
   1816        6       306853.23    323499.66    630352.90 
   1816        7       301860.40    318097.37    619957.77 
   1816        8       296638.64    312456.82    609095.46 
   1816        9       289057.31    304312.66    593369.96 
   1816       10       289241.70    297433.93    586675.63 
   1816       11       288732.03    290416.91    579148.94 
   1816       12       286347.72    287943.64    574291.36 
   1816       13       284360.18    285914.92    570275.10 
   1816       14       283227.94    284839.88    568067.82 
   1816       15       288579.88    285400.31    573980.19 
   1816       16       291359.33    282969.96    574329.29 
   1816       17       286102.94    278130.40    564233.34 
   1816       18       278641.73    271143.10    549784.83 
   1816       19       269791.68    262667.82    532459.49 
   1816       20       277696.69    254225.07    531921.76 
   1816       21       282093.30    243421.00    525514.30 
   1816       22       268549.78    231410.74    499960.51 
   1816       23       256876.31    220946.70    477823.00 
   1816       24       246824.96    211889.71    458714.67 
   1816       25       241060.95    201570.29    442631.24 
   1816       26       240881.71    197019.56    437901.28 
   1816       27       239737.47    195955.67    435693.15 
   1816       28       240189.33    196264.55    436453.89 
   1816       29       243038.35    198587.88    441626.22 
   1816       30       232950.98    200163.71    433114.69 
   1816       31       223302.23    202008.48    425310.72 
   1816       32       221673.75    200555.20    422228.96 
   1816       33       219527.00    198635.88    418162.88 
   1816       34       217022.18    196409.98    413432.16 
   1816       35       214880.03    195251.45    410131.48 
   1816       36       210445.06    191875.67    402320.73 
   1816       37       206078.74    187939.71    394018.46 
   1816       38       200596.28    182969.93    383566.21 
   1816       39       193966.43    176946.99    370913.42 
   1816       40       194697.48    170573.29    365270.77 
   1816       41       195270.28    164250.83    359521.10 
   1816       42       188913.54    158860.01    347773.55 
   1816       43       183994.07    154683.39    338677.46 
   1816       44       179887.00    151222.58    331109.58 
   1816       45       174415.12    148064.45    322479.57 
   1816       46       171287.05    146637.61    317924.66 
   1816       47       171184.31    146659.64    317843.95 
   1816       48       170670.82    146349.67    317020.50 
   1816       49       169993.71    145900.66    315894.37 
   1816       50       163897.35    145542.27    309439.62 
   1816       51       156946.95    144043.23    300990.18 
   1816       52       154145.46    141578.21    295723.67 
   1816       53       151110.34    138866.39    289976.73 
   1816       54       147662.09    135724.95    283387.04 
   1816       55       143510.21    133653.35    277163.56 
   1816       56       137705.00    130246.71    267951.71 
   1816       57       134590.46    127162.17    261752.63 
   1816       58       130807.67    123441.99    254249.66 
   1816       59       125926.28    118697.34    244623.62 
   1816       60       122360.31    115335.46    237695.77 
   1816       61       116078.81    109714.81    225793.62 
   1816       62       110389.81    104340.49    214730.30 
   1816       63       104239.19     98549.07    202788.27 
   1816       64        97857.49     92517.90    190375.39 
   1816       65        92978.84     87462.46    180441.30 
   1816       66        86570.57     81268.15    167838.72 
   1816       67        80125.92     75128.82    155254.74 
   1816       68        73871.35     69166.39    143037.75 
   1816       69        67890.40     63482.21    131372.61 
   1816       70        62628.70     58719.84    121348.54 
   1816       71        56914.46     53558.93    110473.39 
   1816       72        51595.81     48591.58    100187.39 
   1816       73        46246.19     43604.83     89851.02 
   1816       74        41480.34     39143.68     80624.02 
   1816       75        37233.07     34974.28     72207.35 
   1816       76        33270.97     31083.03     64354.01 
   1816       77        29342.75     27323.09     56665.83 
   1816       78        25639.48     23760.61     49400.10 
   1816       79        24230.72     22359.99     46590.71 
   1816       80        19198.81     17923.70     37122.51 
   1816       81        16298.43     15230.95     31529.38 
   1816       82        13603.24     12743.64     26346.88 
   1816       83        11138.97     10463.43     21602.40 
   1816       84         8942.94      8411.58     17354.52 
   1816       85         7075.39      6648.09     13723.47 
   1816       86         5563.42      5214.16     10777.58 
   1816       87         4358.61      4073.30      8431.90 
   1816       88         3426.73      3195.06      6621.80 
   1816       89         2722.22      2534.80      5257.01 
   1816       90         2167.19      2022.06      4189.25 
   1816       91         1711.86      1610.46      3322.32 
   1816       92         1332.72      1266.68      2599.40 
   1816       93         1014.92       978.50      1993.41 
   1816       94          749.69       743.01      1492.70 
   1816       95          537.18       546.90      1084.08 
   1816       96          378.87       390.00       768.87 
   1816       97          264.27       273.96       538.24 
   1816       98          181.48       186.07       367.55 
   1816       99          121.39       121.80       243.19 
   1816      100           80.85        82.35       163.20 
   1816      101           56.38        57.66       114.04 
   1816      102           39.03        40.12        79.15 
   1816      103           26.85        27.61        54.46 
   1816      104           18.48        19.07        37.56 
   1816      105           12.41        13.03        25.44 
   1816      106            8.21         8.62        16.83 
   1816      107            5.51         5.59        11.10 
   1816      108            3.73         3.71         7.44 
   1816      109            2.24         2.49         4.73 
   1816      110           2.41         1.88         4.29 
   1817        0       416591.21    436605.86    853197.07 
   1817        1       387489.18    402907.52    790396.70 
   1817        2       361599.34    376447.78    738047.12 
   1817        3       336540.07    347218.59    683758.65 
   1817        4       325218.87    335346.61    660565.48 
   1817        5       316768.59    326418.91    643187.50 
   1817        6       308912.58    322161.13    631073.71 
   1817        7       302555.41    318636.44    621191.85 
   1817        8       298052.60    313643.73    611696.33 
   1817        9       294246.18    309382.60    603628.78 
   1817       10       289797.48    304448.08    594245.55 
   1817       11       287394.66    295307.43    582702.09 
   1817       12       287495.75    289110.48    576606.23 
   1817       13       285110.65    286693.22    571803.87 
   1817       14       282614.24    284290.47    566904.71 
   1817       15       280306.78    282260.52    562567.30 
   1817       16       284893.55    281721.84    566615.39 
   1817       17       289123.99    280910.14    570034.12 
   1817       18       284673.35    276963.96    561637.31 
   1817       19       277602.69    270301.02    547903.70 
   1817       20       268905.60    261746.37    530651.97 
   1817       21       275880.88    252500.56    528381.44 
   1817       22       279729.96    241024.51    520754.47 
   1817       23       265891.90    228433.20    494325.10 
   1817       24       254426.07    217916.81    472342.88 
   1817       25       244577.08    208918.89    453495.97 
   1817       26       240523.07    200868.15    441391.22 
   1817       27       239690.62    195678.33    435368.96 
   1817       28       238069.96    194254.06    432324.03 
   1817       29       237364.98    193648.18    431013.16 
   1817       30       238557.41    194643.91    433201.32 
   1817       31       230997.87    198275.71    429273.58 
   1817       32       220872.17    199639.54    420511.71 
   1817       33       219507.14    198469.60    417976.74 
   1817       34       217768.37    196977.32    414745.68 
   1817       35       215119.32    194679.66    409798.98 
   1817       36       211283.46    191920.05    403203.51 
   1817       37       207714.58    189463.88    397178.46 
   1817       38       203742.17    185931.98    389674.15 
   1817       39       198704.94    181395.77    380100.71 
   1817       40       192652.98    175895.05    368548.03 
   1817       41       193179.08    169279.77    362458.86 
   1817       42       192979.88    162323.77    355303.66 
   1817       43       185843.75    156226.92    342070.67 
   1817       44       180553.76    151715.36    332269.12 
   1817       45       176761.15    148528.43    325289.58 
   1817       46       171810.48    145560.10    317370.58 
   1817       47       168663.80    144080.83    312744.62 
   1817       48       168689.19    144271.27    312960.46 
   1817       49       168102.37    143948.08    312050.46 
   1817       50       166948.01    143132.39    310080.40 
   1817       51       160675.89    142339.13    303015.03 
   1817       52       153701.51    140741.83    294443.34 
   1817       53       150836.20    138212.97    289049.17 
   1817       54       148085.20    135718.61    283803.81 
   1817       55       145179.24    132994.84    278174.09 
   1817       56       139326.45    129537.34    268863.79 
   1817       57       134054.58    126522.36    260576.94 
   1817       58       131190.07    123583.24    254773.30 
   1817       59       127634.07    120030.15    247664.21 
   1817       60       123264.96    115774.94    239039.91 
   1817       61       117198.20    110339.66    227537.86 
   1817       62       111420.39    105199.50    216619.89 
   1817       63       106071.77    100143.95    206215.72 
   1817       64       100277.16     94641.66    194918.82 
   1817       65        94182.02     88797.87    182979.89 
   1817       66        88148.84     82867.70    171016.54 
   1817       67        82246.61     77004.54    159251.15 
   1817       68        76081.10     71071.26    147152.37 
   1817       69        69892.82     65166.13    135058.95 
   1817       70        63793.00     59416.21    123209.21 
   1817       71        57892.59     54125.74    112018.33 
   1817       72        52340.35     49197.99    101538.34 
   1817       73        47307.92     44550.37     91858.29 
   1817       74        42413.27     39992.59     82405.86 
   1817       75        37603.66     35440.27     73043.93 
   1817       76        33407.40     31276.88     64684.27 
   1817       77        29836.07     27505.41     57341.47 
   1817       78        26301.39     24079.53     50380.92 
   1817       79        22975.26     20875.88     43851.15 
   1817       80        19173.76     17805.83     36979.59 
   1817       81        16238.94     15078.18     31317.12 
   1817       82        13536.93     12598.38     26135.31 
   1817       83        11105.50     10375.16     21480.66 
   1817       84         8970.40      8410.18     17380.57 
