   Year      Age       Female          Male         Total
   1990        0       437037.00    460469.67    897506.67 
   1990        1       438283.17    461376.00    899659.17 
   1990        2       437651.00    462477.00    900128.00 
   1990        3       428594.17    452011.33    880605.50 
   1990        4       417859.33    439490.83    857350.17 
   1990        5       409084.17    430975.00    840059.17 
   1990        6       410024.50    431997.33    842021.83 
   1990        7       417796.17    440282.33    858078.50 
   1990        8       423204.17    445158.67    868362.83 
   1990        9       424616.50    445609.83    870226.33 
   1990       10       414133.83    435541.83    849675.67 
   1990       11       399508.50    421426.00    820934.50 
   1990       12       395183.33    417651.83    812835.17 
   1990       13       391007.00    412899.33    803906.33 
   1990       14       382740.00    404593.50    787333.50 
   1990       15       382213.00    404807.17    787020.17 
   1990       16       392152.00    414426.83    806578.83 
   1990       17       419723.00    442535.67    862258.67 
   1990       18       473593.83    498777.00    972370.83 
   1990       19       519360.00    544525.17   1063885.17 
   1990       20       561560.33    586574.67   1148135.00 
   1990       21       605351.00    633078.33   1238429.33 
   1990       22       634788.17    666158.33   1300946.50 
   1990       23       657469.00    693467.83   1350936.83 
   1990       24       670473.17    712641.17   1383114.33 
   1990       25       680437.67    727496.17   1407933.83 
   1990       26       686841.67    735118.67   1421960.33 
   1990       27       675637.33    721989.33   1397626.67 
   1990       28       663725.83    704471.83   1368197.67 
   1990       29       651607.00    688978.00   1340585.00 
   1990       30       633301.83    671019.67   1304321.50 
   1990       31       608675.50    646472.33   1255147.83 
   1990       32       589085.67    626074.33   1215160.00 
   1990       33       579852.00    614557.00   1194409.00 
   1990       34       567741.33    599040.17   1166781.50 
   1990       35       560114.67    585543.00   1145657.67 
   1990       36       554249.50    572958.83   1127208.33 
   1990       37       551132.67    566625.00   1117757.67 
   1990       38       549052.83    564663.67   1113716.50 
   1990       39       548721.50    565450.00   1114171.50 
   1990       40       543436.50    563558.00   1106994.50 
   1990       41       514507.67    537987.33   1052495.00 
   1990       42       482308.33    505229.50    987537.83 
   1990       43       443874.67    464545.50    908420.17 
   1990       44       396300.67    412509.00    808809.67 
   1990       45       439942.17    455532.00    895474.17 
   1990       46       508216.83    529334.50   1037551.33 
   1990       47       505980.33    529206.50   1035186.83 
   1990       48       554381.17    578405.50   1132786.67 
   1990       49       628326.33    652563.33   1280889.67 
   1990       50       644206.17    666569.33   1310775.50 
   1990       51       620996.17    640244.83   1261241.00 
   1990       52       584373.83    600373.50   1184747.33 
   1990       53       563704.00    575377.00   1139081.00 
   1990       54       554444.00    561758.50   1116202.50 
   1990       55       532381.83    537669.67   1070051.50 
   1990       56       469199.00    471233.33    940432.33 
   1990       57       424472.00    421253.67    845725.67 
   1990       58       433404.50    424486.50    857891.00 
   1990       59       455970.33    440115.67    896086.00 
   1990       60       467212.83    443687.50    910900.33 
   1990       61       465245.83    433899.50    899145.33 
   1990       62       459482.17    406721.00    866203.17 
   1990       63       459232.83    367639.83    826872.67 
   1990       64       472877.00    343742.33    816619.33 
   1990       65       471668.33    311764.50    783432.83 
   1990       66       462009.67    284383.67    746393.33 
   1990       67       470110.50    285581.50    755692.00 
   1990       68       492248.33    293565.50    785813.83 
   1990       69       501459.50    287935.33    789394.83 
   1990       70       434201.17    243881.50    678082.67 
   1990       71       303525.83    168894.00    472419.83 
   1990       72       232350.50    127467.17    359817.67 
   1990       73       236029.83    126799.83    362829.67 
