   Year      Age       Female          Male         Total
   1950        0        89308.65     94141.86    183450.51 
   1950        1        85030.54     88768.53    173799.07 
   1950        2        82682.18     86016.18    168698.35 
   1950        3        76136.34     79339.84    155476.18 
   1950        4        71236.34     73888.84    145125.18 
   1950        5        75883.67     78531.33    154415.00 
   1950        6        77560.00     80371.50    157931.50 
   1950        7        76056.16     78265.67    154321.83 
   1950        8        74987.17     77033.50    152020.67 
   1950        9        74216.16     76387.67    150603.83 
   1950       10        73748.17     75645.16    149393.33 
   1950       11        72501.67     74026.33    146528.00 
   1950       12        72800.33     73804.83    146605.17 
   1950       13        71950.00     72964.66    144914.66 
   1950       14        72495.33     73816.33    146311.67 
   1950       15        73102.49     74124.84    147227.33 
   1950       16        74173.00     75253.17    149426.16 
   1950       17        76171.16     76644.34    152815.50 
   1950       18        76318.00     76443.34    152761.34 
   1950       19        78239.00     78467.33    156706.33 
   1950       20        78957.17     79089.51    158046.68 
   1950       21        78302.67     77575.33    155878.00 
   1950       22        78305.00     76417.67    154722.67 
   1950       23        79009.17     75785.34    154794.50 
   1950       24        82248.00     77855.83    160103.83 
   1950       25        80365.01     76145.17    156510.18 
   1950       26        79628.33     75378.50    155006.83 
   1950       27        83844.01     76329.50    160173.50 
   1950       28        84442.50     75404.17    159846.67 
   1950       29        83193.16     73789.33    156982.49 
   1950       30        77197.34     67928.34    145125.67 
   1950       31        55946.67     49747.50    105694.17 
   1950       32        40323.16     35703.34     76026.50 
   1950       33        40831.00     36442.50     77273.50 
   1950       34        48346.16     42855.00     91201.16 
   1950       35        67933.66     59323.32    127256.99 
   1950       36        79605.00     70162.17    149767.17 
   1950       37        80286.00     71774.33    152060.33 
   1950       38        78592.68     71595.83    150188.51 
   1950       39        77252.83     70683.01    147935.84 
   1950       40        77563.33     70815.17    148378.51 
   1950       41        75588.66     69646.83    145235.49 
   1950       42        73937.18     67730.50    141667.68 
   1950       43        70821.34     65305.83    136127.17 
   1950       44        67196.17     62414.16    129610.34 
   1950       45        65712.34     60969.50    126681.84 
   1950       46        66051.34     61819.83    127871.17 
   1950       47        66782.99     62724.50    129507.49 
   1950       48        64922.32     61499.34    126421.66 
   1950       49        64866.33     60470.99    125337.32 
   1950       50        63586.51     59316.50    122903.02 
   1950       51        60969.00     56265.67    117234.67 
   1950       52        61015.32     53241.66    114256.99 
   1950       53        59708.84     49382.01    109090.85 
   1950       54        57845.01     46607.00    104452.01 
   1950       55        55138.50     44061.17     99199.68 
   1950       56        52876.83     42098.34     94975.18 
   1950       57        50920.01     40287.01     91207.02 
   1950       58        46837.18     37344.18     84181.37 
   1950       59        42323.68     34332.01     76655.69 
   1950       60        41730.33     33247.66     74977.99 
   1950       61        44913.64     34102.48     79016.12 
   1950       62        43844.35     33723.01     77567.36 
   1950       63        40850.00     32686.00     73536.01 
   1950       64        39880.34     31413.83     71294.17 
   1950       65        38890.32     30273.33     69163.66 
   1950       66        37149.84     29272.34     66422.18 
   1950       67        35622.50     27657.33     63279.83 
   1950       68        32443.86     25185.69     57629.54 
   1950       69        29705.83     23415.83     53121.66 
   1950       70        27780.85     22052.33     49833.17 
   1950       71        25168.16     20106.33     45274.49 
   1950       72        23401.84     18273.83     41675.67 
   1950       73        21763.17     17042.01     38805.17 
   1950       74        20650.34     16250.67     36901.01 
   1950       75        18074.03     14268.20     32342.23 
   1950       76        15182.18     11757.52     26939.71 
   1950       77        13721.16     10417.82     24138.98 
   1950       78        11724.37      9497.18     21221.54 
   1950       79        10818.97      8738.84     19557.81 
   1950       80         9474.09      7700.20     17174.28 
   1950       81         7635.11      6264.74     13899.85 
   1950       82         6237.07      4980.20     11217.26 
   1950       83         5304.17      4011.12      9315.30 
   1950       84         4474.39      3374.53      7848.92 
   1950       85         3485.21      2636.69      6121.90 
   1950       86         2857.83      2004.97      4862.81 
   1950       87         2240.40      1549.36      3789.76 
   1950       88         1571.57      1087.55      2659.12 
   1950       89         1236.35       801.35      2037.70 
   1950       90          895.59       561.22      1456.81 
   1950       91          546.26       354.55       900.81 
   1950       92          397.45       232.96       630.41 
   1950       93          291.20       164.50       455.70 
   1950       94          185.42       104.96       290.37 
   1950       95          108.01        65.86       173.87 
   1950       96           64.91        39.72       104.63 
   1950       97           42.10        23.41        65.52 
   1950       98           27.73        14.77        42.50 
   1950       99           14.28         9.19        23.47 
   1950      100            6.44         4.32        10.76 
   1950      101            3.29         2.26         5.55 
   1950      102            1.86         1.18         3.04 
   1950      103            0.81         0.48         1.29 
   1950      104            0.15         0.05         0.20 
   1950      105            0.00         0.00         0.00 
   1950      106            0.00         0.00         0.00 
   1950      107            0.00         0.00         0.00 
   1950      108            0.00         0.00         0.00 
   1950      109            0.00         0.00         0.00 
   1950      110           0.00         0.00         0.00 
   1951        0        89713.56     93826.16    183539.72 
   1951        1        86644.35     90748.69    177393.04 
   1951        2        84616.17     88268.17    172884.34 
   1951        3        82509.34     85775.00    168284.33 
   1951        4        76049.84     79209.84    155259.67 
   1951        5        71171.67     73800.00    144971.67 
   1951        6        75851.17     78458.34    154309.51 
   1951        7        77528.67     80305.33    157834.00 
   1951        8        75983.83     78163.33    154147.17 
   1951        9        74906.17     76939.33    151845.50 
   1951       10        74196.17     76319.83    150516.00 
   1951       11        73675.50     75576.67    149252.17 
   1951       12        72463.33     73908.67    146372.00 
   1951       13        72686.83     73527.84    146214.67 
   1951       14        71872.67     72774.50    144647.17 
   1951       15        72400.66     73620.50    146021.17 
   1951       16        72997.00     73908.17    146905.17 
   1951       17        74043.00     75028.00    149071.00 
   1951       18        75967.33     76372.00    152339.33 
   1951       19        76128.00     76131.50    152259.50 
   1951       20        78054.83     78126.33    156181.16 
   1951       21        78757.00     78810.66    157567.66 
   1951       22        78190.33     77346.00    155536.33 
   1951       23        78157.50     76181.17    154338.67 
   1951       24        78861.17     75590.50    154451.67 
   1951       25        82093.83     77662.16    159756.00 
   1951       26        80184.67     75947.67    156132.33 
   1951       27        79394.66     75192.50    154587.16 
   1951       28        83604.00     76127.33    159731.33 
   1951       29        84235.83     75213.83    159449.67 
   1951       30        82982.66     73592.33    156575.00 
   1951       31        77003.84     67737.84    144741.67 
   1951       32        55838.00     49606.83    105444.84 
   1951       33        40216.67     35611.17     75827.83 
   1951       34        40728.00     36345.84     77073.84 
   1951       35        48195.33     42735.83     90931.17 
   1951       36        67705.66     59151.83    126857.49 
   1951       37        79284.50     69957.16    149241.67 
   1951       38        79990.83     71534.33    151525.17 
   1951       39        78312.67     71325.66    149638.33 
   1951       40        76957.83     70405.50    147363.33 
   1951       41        77259.50     70497.33    147756.83 
   1951       42        75320.66     69288.83    144609.50 
   1951       43        73625.66     67386.50    141012.17 
   1951       44        70516.83     64940.50    135457.34 
   1951       45        66917.50     62046.50    128964.00 
   1951       46        65402.33     60568.33    125970.67 
   1951       47        65699.34     61390.16    127089.49 
   1951       48        66353.17     62224.33    128577.50 
   1951       49        64476.67     60989.50    125466.17 
   1951       50        64406.50     59918.33    124324.83 
   1951       51        63124.33     58676.50    121800.84 
   1951       52        60525.17     55622.84    116148.01 
   1951       53        60452.33     52598.50    113050.84 
   1951       54        59133.83     48755.33    107889.16 
   1951       55        57224.83     45943.17    103168.00 
   1951       56        54538.83     43400.83     97939.66 
   1951       57        52287.50     41404.17     93691.66 
   1951       58        50249.33     39543.00     89792.34 
   1951       59        46166.50     36559.66     82726.17 
   1951       60        41733.17     33587.83     75321.01 
   1951       61        41122.16     32463.66     73585.82 
   1951       62        44004.99     33186.50     77191.49 
   1951       63        42849.01     32775.50     75624.51 
   1951       64        40008.66     31640.00     71648.66 
   1951       65        38928.67     30378.66     69307.33 
   1951       66        37832.67     29177.00     67009.67 
   1951       67        36052.50     28166.16     64218.66 
   1951       68        34412.66     26438.33     60851.00 
   1951       69        31258.50     24031.01     55289.51 
   1951       70        28528.99     22309.00     50837.99 
   1951       71        26539.17     20882.84     47422.02 
   1951       72        23946.00     18962.67     42908.67 
   1951       73        22109.50     17116.17     39225.67 
   1951       74        20455.99     15852.17     36308.16 
   1951       75        19260.50     14928.34     34188.84 
   1951       76        16744.67     13037.67     29782.35 
   1951       77        13955.33     10678.16     24633.49 
   1951       78        12408.33      9315.84     21724.17 
   1951       79        10609.51      8421.00     19030.51 
   1951       80         9607.25      7796.10     17403.35 
   1951       81         8350.39      6667.34     15017.73 
   1951       82         6629.35      5355.16     11984.51 
   1951       83         5338.26      4201.58      9539.84 
   1951       84         4457.90      3290.24      7748.13 
   1951       85         3685.05      2738.38      6423.43 
   1951       86         2823.83      2066.78      4890.61 
   1951       87         2260.01      1555.35      3815.36 
   1951       88         1734.52      1163.30      2897.82 
   1951       89         1222.38       801.76      2024.13 
   1951       90          938.51       580.46      1518.97 
   1951       91          662.85       393.22      1056.07 
   1951       92          403.26       247.78       651.04 
   1951       93          288.66       158.05       446.71 
   1951       94          200.77        98.94       299.71 
   1951       95          126.18        64.58       190.77 
   1951       96           68.30        39.67       107.97 
   1951       97           35.71        23.38        59.09 
   1951       98           25.42        13.23        38.65 
   1951       99           13.21         7.44        20.64 
   1951      100            5.29         3.35         8.63 
   1951      101            2.37         1.30         3.66 
   1951      102            0.93         0.48         1.41 
   1951      103            0.52         0.16         0.68 
   1951      104            0.17         0.00         0.17 
   1951      105            0.00         0.00         0.00 
   1951      106            0.00         0.00         0.00 
   1951      107            0.00         0.00         0.00 
   1951      108            0.00         0.00         0.00 
   1951      109            0.00         0.00         0.00 
   1951      110           0.00         0.00         0.00 
   1952        0        87899.51     91447.70    179347.21 
   1952        1        87272.84     90790.51    178063.35 
   1952        2        86257.67     90317.17    176574.84 
   1952        3        84467.17     88068.17    172535.33 
   1952        4        82455.17     85642.84    168098.01 
   1952        5        76017.50     79149.50    155167.00 
   1952        6        71157.34     73757.00    144914.34 
