   Year      Age       Female          Male         Total
   1872        0       400787.55    417426.99    818214.55 
   1872        1       275745.66    282278.77    558024.43 
   1872        2       272037.18    282108.49    554145.66 
   1872        3       300730.38    311431.60    612161.99 
   1872        4       293215.55    300016.86    593232.41 
   1872        5       292747.92    300114.82    592862.73 
   1872        6       293426.89    304056.06    597482.95 
   1872        7       293526.55    301002.67    594529.22 
   1872        8       290613.81    299132.33    589746.14 
   1872        9       271776.50    281275.98    553052.48 
   1872       10       273352.08    278383.30    551735.38 
   1872       11       259302.78    266974.29    526277.07 
   1872       12       262542.09    274922.30    537464.39 
   1872       13       265891.64    277830.22    543721.85 
   1872       14       253538.07    262373.25    515911.32 
   1872       15       258468.87    259445.08    517913.94 
   1872       16       254791.94    248390.93    503182.86 
   1872       17       244277.66    233742.51    478020.17 
   1872       18       253606.07    234338.53    487944.60 
   1872       19       242485.31    224019.91    466505.22 
   1872       20       253304.74    231486.03    484790.78 
   1872       21       243789.05    249278.69    493067.73 
   1872       22       221847.65    239026.29    460873.93 
   1872       23       224086.92    226023.79    450110.71 
   1872       24       221717.64    213189.33    434906.97 
   1872       25       231576.11    211227.83    442803.94 
   1872       26       228036.27    219072.89    447109.17 
   1872       27       212590.46    212958.05    425548.50 
   1872       28       213855.40    210021.25    423876.65 
   1872       29       186586.57    187672.85    374259.42 
   1872       30       237932.59    219763.38    457695.97 
   1872       31       223247.19    213227.75    436474.94 
   1872       32       162621.35    173120.35    335741.70 
   1872       33       169283.45    175214.73    344498.17 
   1872       34       164297.48    169654.30    333951.78 
   1872       35       186972.88    182155.31    369128.19 
   1872       36       193851.18    189166.64    383017.82 
   1872       37       167111.54    170885.78    337997.32 
   1872       38       159097.91    163122.79    322220.70 
   1872       39       139474.41    143846.80    283321.21 
   1872       40       224526.46    212408.80    436935.26 
   1872       41       212425.73    206744.89    419170.62 
   1872       42       132220.10    143180.61    275400.71 
   1872       43       133274.32    140715.25    273989.57 
   1872       44       128181.98    132344.89    260526.87 
   1872       45       160188.80    159269.39    319458.20 
   1872       46       157680.07    158847.90    316527.97 
   1872       47       128113.68    132792.63    260906.30 
   1872       48       129906.85    132926.26    262833.11 
   1872       49       117981.49    122425.81    240407.30 
   1872       50       197465.35    189965.26    387430.61 
   1872       51       184134.54    181905.57    366040.11 
   1872       52       104613.54    117805.92    222419.45 
   1872       53        99961.03    110450.06    210411.09 
   1872       54        92973.72     98155.37    191129.10 
   1872       55       105623.15    105677.73    211300.88 
   1872       56       103094.19    105023.14    208117.33 
   1872       57        84082.87     89411.19    173494.07 
   1872       58        79603.65     84755.82    164359.47 
   1872       59        70868.64     75464.80    146333.44 
   1872       60       144373.18    131642.50    276015.68 
   1872       61       136191.95    128237.31    264429.25 
   1872       62        65483.54     75443.92    140927.46 
   1872       63        64536.93     72302.45    136839.38 
   1872       64        61921.72     67226.64    129148.36 
   1872       65        72926.30     74535.74    147462.04 
   1872       66        68225.85     70860.08    139085.93 
   1872       67        51258.69     57601.05    108859.74 
   1872       68        45545.83     50739.87     96285.70 
   1872       69        38300.56     41888.73     80189.28 
   1872       70        69641.72     64681.71    134323.43 
   1872       71        65077.84     62595.96    127673.80 
   1872       72        31376.14     37780.89     69157.04 
   1872       73        26278.84     31222.70     57501.55 
   1872       74        21672.56     25156.47     46829.03 
   1872       75        25574.86     27691.09     53265.96 
   1872       76        23338.76     25266.05     48604.81 
   1872       77        16068.82     18642.97     34711.78 
   1872       78        14618.27     16911.47     31529.74 
   1872       79        12131.23     13836.24     25967.47 
   1872       80        13734.77     14119.60     27854.38 
   1872       81        11373.59     11801.44     23175.02 
   1872       82         9366.11      9783.17     19149.29 
   1872       83         7599.16      8018.76     15617.92 
   1872       84         6073.00      6482.71     12555.71 
   1872       85         4769.62      5158.93      9928.54 
   1872       86         3671.02      4043.03      7714.04 
   1872       87         2772.51      3119.18      5891.69 
   1872       88         2064.79      2369.76      4434.55 
   1872       89         1514.63      1776.46      3291.09 
   1872       90         1087.25      1309.91      2397.16 
   1872       91          770.04       947.69      1717.73 
   1872       92          538.09       674.56      1212.65 
   1872       93          366.26       472.46       838.72 
   1872       94          244.39       325.10       569.49 
   1872       95          159.26       219.22       378.49 
   1872       96          101.07       145.24       246.31 
   1872       97           63.21        94.60       157.81 
   1872       98           38.62        60.55        99.17 
   1872       99           23.18        37.95        61.13 
   1872      100           13.42        22.77        36.19 
   1872      101            7.35        13.23        20.58 
   1872      102            4.22         7.52        11.75 
   1872      103            2.39         3.96         6.36 
   1872      104            0.94         1.95         2.88 
   1872      105            0.18         0.85         1.03 
   1872      106            0.00         0.32         0.32 
   1872      107            0.00         0.04         0.04 
   1872      108            0.26         0.00         0.26 
   1872      109            0.50         0.00         0.50 
   1872      110           0.24         0.00         0.24 
   1873        0       424812.26    447113.00    871925.26 
   1873        1       339274.05    348489.41    687763.45 
   1873        2       255111.05    261175.22    516286.27 
   1873        3       257786.22    267378.03    525164.25 
   1873        4       288509.90    298992.47    587502.36 
   1873        5       284900.48    291975.63    576876.10 
   1873        6       286564.17    293335.39    579899.55 
   1873        7       289222.07    297931.94    587154.01 
   1873        8       290044.82    295967.02    586011.84 
   1873        9       287909.52    294836.58    582746.09 
   1873       10       270970.21    278747.92    549718.13 
   1873       11       272144.76    276053.41    548198.17 
   1873       12       259025.08    265442.15    524467.23 
   1873       13       261729.43    272382.93    534112.36 
   1873       14       263805.81    274119.00    537924.81 
   1873       15       251755.34    259387.17    511142.51 
   1873       16       254776.63    255345.29    510121.93 
   1873       17       250898.90    244821.92    495720.82 
   1873       18       241346.37    231499.34    472845.71 
   1873       19       249871.60    232045.70    481917.30 
