   Year      Age       Female          Male         Total
   1960        0         2441.06      2541.51      4982.57 
   1960        1         2363.52      2554.23      4917.75 
   1960        2         2340.26      2548.82      4889.09 
   1960        3         2384.78      2460.00      4844.78 
   1960        4         2353.50      2374.78      4728.27 
   1960        5         2303.76      2370.25      4674.01 
   1960        6         2270.25      2339.53      4609.77 
   1960        7         2208.53      2302.24      4510.78 
   1960        8         2102.99      2219.50      4322.49 
   1960        9         2018.50      2118.25      4136.75 
   1960       10         1994.00      2053.00      4047.00 
   1960       11         1962.50      2044.25      4006.75 
   1960       12         1985.50      2078.75      4064.25 
   1960       13         1976.25      2090.01      4066.26 
   1960       14         1885.50      1964.50      3850.00 
   1960       15         1873.00      1883.25      3756.25 
   1960       16         1977.50      1991.25      3968.75 
   1960       17         2056.25      2117.00      4173.25 
   1960       18         2021.00      2087.50      4108.50 
   1960       19         1983.00      2073.01      4056.01 
   1960       20         2062.01      2246.06      4308.06 
   1960       21         2130.25      2271.49      4401.75 
   1960       22         2096.75      2249.28      4346.03 
   1960       23         2062.00      2284.56      4346.55 
   1960       24         2102.00      2278.52      4380.52 
   1960       25         2144.77      2287.53      4432.29 
   1960       26         2158.26      2323.03      4481.29 
   1960       27         2178.75      2387.27      4566.02 
   1960       28         2291.76      2501.52      4793.28 
   1960       29         2454.26      2647.27      5101.53 
   1960       30         2479.76      2707.28      5187.03 
   1960       31         2415.02      2683.79      5098.81 
   1960       32         2413.00      2628.52      5041.52 
   1960       33         2393.00      2467.04      4860.04 
   1960       34         2344.26      2252.01      4596.27 
   1960       35         2344.01      2041.25      4385.26 
   1960       36         2383.52      1957.77      4341.29 
   1960       37         2307.25      1913.00      4220.25 
   1960       38         2248.26      1929.00      4177.27 
   1960       39         2348.51      2014.25      4362.75 
   1960       40         2193.02      1929.01      4122.02 
   1960       41         1767.75      1723.76      3491.51 
   1960       42         1611.76      1634.75      3246.51 
   1960       43         1703.28      1698.01      3401.29 
   1960       44         1891.51      1874.75      3766.26 
   1960       45         2173.77      2151.99      4325.77 
   1960       46         2295.76      2261.73      4557.49 
   1960       47         2341.27      2324.76      4666.03 
   1960       48         2357.01      2334.75      4691.76 
   1960       49         2292.77      2304.24      4597.01 
   1960       50         2291.52      2336.51      4628.02 
   1960       51         2349.27      2332.99      4682.26 
   1960       52         2385.28      2343.26      4728.55 
   1960       53         2347.77      2311.23      4659.00 
   1960       54         2282.52      2243.51      4526.03 
   1960       55         2241.03      2168.75      4409.77 
   1960       56         2179.78      2073.51      4253.29 
   1960       57         2206.27      2041.25      4247.52 
   1960       58         2186.52      2052.00      4238.53 
   1960       59         2073.48      1969.72      4043.20 
   1960       60         2015.00      1818.75      3833.74 
   1960       61         1917.49      1681.47      3598.96 
   1960       62         1823.00      1582.99      3405.99 
   1960       63         1738.50      1493.49      3231.98 
   1960       64         1668.43      1390.19      3058.62 
   1960       65         1595.19      1331.44      2926.63 
   1960       66         1532.46      1297.45      2829.91 
   1960       67         1429.44      1199.43      2628.87 
   1960       68         1303.70      1090.45      2394.15 
   1960       69         1236.35      1010.36      2246.71 
   1960       70         1169.36       943.93      2113.29 
   1960       71         1104.40       897.67      2002.08 
   1960       72         1049.60       850.83      1900.42 
   1960       73         1009.38       798.92      1808.30 
   1960       74          943.78       721.86      1665.64 
   1960       75          859.34       652.39      1511.73 
   1960       76          791.51       602.04      1393.54 
   1960       77          736.53       550.16      1286.68 
   1960       78          669.32       491.13      1160.45 
   1960       79          588.03       437.14      1025.17 
   1960       80          522.76       386.03       908.78 
   1960       81          455.20       332.21       787.41 
   1960       82          387.83       280.54       668.37 
   1960       83          323.66       239.00       562.66 
   1960       84          272.78       194.15       466.93 
