   Year      Age       Female          Male         Total
   1850        0        43321.33     44914.17     88235.50 
   1850        1        34960.83     35539.83     70500.67 
   1850        2        32216.50     32439.33     64655.83 
   1850        3        31387.33     31625.50     63012.83 
   1850        4        32896.83     33251.50     66148.33 
   1850        5        34664.00     35288.67     69952.67 
   1850        6        34453.50     35260.00     69713.50 
   1850        7        33955.17     34424.17     68379.33 
   1850        8        33699.33     34388.50     68087.83 
   1850        9        33783.00     34534.83     68317.83 
   1850       10        34056.50     34553.83     68610.33 
   1850       11        33597.67     33963.00     67560.67 
   1850       12        32806.67     33125.83     65932.50 
   1850       13        31957.33     32698.67     64656.00 
   1850       14        31555.50     32228.17     63783.67 
   1850       15        30602.83     30848.00     61450.83 
   1850       16        29642.17     29935.67     59577.83 
   1850       17        28334.67     28362.17     56696.83 
   1850       18        26645.50     26643.50     53289.00 
   1850       19        27549.00     27391.50     54940.50 
   1850       20        29028.50     28195.33     57223.83 
   1850       21        27919.83     27276.67     55196.50 
   1850       22        26530.17     25813.00     52343.17 
   1850       23        27412.17     26157.00     53569.17 
   1850       24        28443.17     26981.83     55425.00 
   1850       25        28551.83     27539.00     56090.83 
   1850       26        27970.50     27196.17     55166.67 
   1850       27        26659.17     25921.67     52580.83 
   1850       28        25376.00     24780.83     50156.83 
   1850       29        24090.00     23202.67     47292.67 
   1850       30        24130.67     23092.00     47222.67 
   1850       31        22912.33     22121.00     45033.33 
   1850       32        21012.00     20485.17     41497.17 
   1850       33        21865.00     21055.00     42920.00 
   1850       34        21796.50     21043.17     42839.67 
   1850       35        20704.83     20037.67     40742.50 
   1850       36        20332.50     19467.83     39800.33 
   1850       37        19434.33     18697.67     38132.00 
   1850       38        19197.17     18438.83     37636.00 
   1850       39        19381.50     18316.50     37698.00 
   1850       40        18631.33     17459.00     36090.33 
   1850       41        16894.33     16136.33     33030.67 
   1850       42        16265.33     15533.00     31798.33 
   1850       43        16810.33     15869.17     32679.50 
   1850       44        16610.33     15778.17     32388.50 
   1850       45        16416.83     15581.83     31998.67 
   1850       46        16176.33     15395.17     31571.50 
   1850       47        16148.50     15392.83     31541.33 
   1850       48        16152.17     15122.00     31274.17 
   1850       49        16678.67     15232.33     31911.00 
   1850       50        16993.50     15629.33     32622.83 
   1850       51        15400.17     14586.00     29986.17 
   1850       52        14204.00     13502.50     27706.50 
   1850       53        13867.50     12842.00     26709.50 
   1850       54        13298.00     11687.50     24985.50 
   1850       55        12836.00     11022.33     23858.33 
   1850       56        12303.33     10644.17     22947.50 
   1850       57        12030.67     10288.83     22319.50 
   1850       58        11547.67      9806.67     21354.33 
   1850       59        11270.33      9112.17     20382.50 
   1850       60        11178.33      8505.50     19683.83 
   1850       61        10423.33      8130.50     18553.83 
   1850       62        10093.00      8373.83     18466.83 
   1850       63         9763.33      8110.17     17873.50 
   1850       64         8942.67      7232.33     16175.00 
   1850       65         8378.17      6713.17     15091.33 
   1850       66         7579.00      6081.00     13660.00 
   1850       67         6665.67      5368.83     12034.50 
   1850       68         5850.17      4680.67     10530.83 
   1850       69         5862.83      4666.33     10529.17 
   1850       70         5952.67      4653.50     10606.17 
   1850       71         4995.83      3894.67      8890.50 
   1850       72         4457.50      3642.17      8099.67 
   1850       73         4295.67      3471.00      7766.67 
   1850       74         3865.17      3014.00      6879.17 
   1850       75         3653.67      2852.33      6506.00 
   1850       76         3253.67      2588.83      5842.50 
   1850       77         2869.50      2298.33      5167.83 
   1850       78         2495.00      1892.50      4387.50 
   1850       79         2276.67      1655.83      3932.50 
   1850       80         1858.83      1387.50      3246.33 
   1850       81         1566.17      1162.33      2728.50 
   1850       82         1299.67       997.17      2296.83 
   1850       83         1057.00       825.17      1882.17 
