   Year      Age       Female          Male         Total
   1948        0        23445.78     24492.66     47938.43 
   1948        1        22558.18     23508.60     46066.78 
   1948        2        20733.47     21596.16     42329.63 
   1948        3        18562.94     19350.51     37913.45 
   1948        4        17111.41     17878.95     34990.36 
   1948        5        16884.53     17519.89     34404.42 
   1948        6        17329.43     17797.06     35126.50 
   1948        7        17213.49     17660.97     34874.45 
   1948        8        16241.76     16659.44     32901.20 
   1948        9        15108.93     15421.58     30530.52 
   1948       10        14235.98     14510.99     28746.97 
   1948       11        13588.33     13913.20     27501.53 
   1948       12        13058.16     13525.43     26583.58 
   1948       13        12722.74     13325.22     26047.96 
   1948       14        12664.89     13252.58     25917.47 
   1948       15        12834.63     13347.16     26181.79 
   1948       16        13179.42     13669.41     26848.83 
   1948       17        13502.16     13962.27     27464.43 
   1948       18        13597.56     14032.49     27630.05 
   1948       19        13560.01     14069.85     27629.87 
   1948       20        13642.30     14117.68     27759.98 
   1948       21        13827.28     14108.01     27935.29 
   1948       22        13974.91     14123.55     28098.46 
   1948       23        14049.97     14046.10     28096.07 
   1948       24        14137.40     13890.68     28028.08 
   1948       25        14312.31     13857.88     28170.19 
   1948       26        14527.32     13890.37     28417.68 
   1948       27        14512.92     13795.72     28308.64 
   1948       28        13973.77     13348.77     27322.53 
   1948       29        13393.01     12920.54     26313.55 
   1948       30        13439.53     13022.17     26461.70 
   1948       31        13802.16     13419.69     27221.85 
   1948       32        13987.56     13700.00     27687.56 
   1948       33        13917.82     13822.66     27740.48 
   1948       34        13737.89     13800.36     27538.25 
   1948       35        13520.44     13655.37     27175.81 
   1948       36        13275.44     13517.76     26793.20 
   1948       37        13082.70     13472.64     26555.34 
   1948       38        12937.80     13380.35     26318.15 
   1948       39        12678.05     13145.48     25823.53 
   1948       40        12357.94     12867.89     25225.83 
   1948       41        12112.81     12637.82     24750.62 
   1948       42        11840.56     12377.99     24218.55 
   1948       43        11370.86     11945.75     23316.61 
   1948       44        10850.66     11455.63     22306.29 
   1948       45        10505.39     11082.90     21588.29 
   1948       46        10452.35     10944.92     21397.27 
   1948       47        10612.34     10987.37     21599.71 
   1948       48        10403.33     10668.34     21071.67 
   1948       49         9843.29      9913.51     19756.80 
   1948       50         9537.61      9317.93     18855.53 
   1948       51         9567.32      9015.19     18582.51 
   1948       52         9545.26      8732.89     18278.14 
   1948       53         9203.24      8330.49     17533.73 
   1948       54         8810.37      8057.50     16867.88 
   1948       55         8687.50      8044.76     16732.26 
   1948       56         8622.66      8107.30     16729.96 
   1948       57         8507.63      8144.78     16652.42 
   1948       58         8402.63      8149.85     16552.47 
   1948       59         8320.06      8117.34     16437.40 
   1948       60         8264.91      8094.69     16359.60 
   1948       61         8234.89      8119.62     16354.52 
   1948       62         8157.53      8079.84     16237.37 
   1948       63         7850.42      7805.12     15655.54 
   1948       64         7462.72      7454.94     14917.66 
   1948       65         7272.10      7242.01     14514.11 
   1948       66         7259.49      7144.48     14403.97 
   1948       67         7252.09      7029.60     14281.69 
   1948       68         6960.17      6647.56     13607.73 
   1948       69         6385.30      6052.65     12437.95 
   1948       70         5829.91      5519.77     11349.68 
   1948       71         5384.89      5109.76     10494.65 
   1948       72         4910.00      4657.39      9567.39 
   1948       73         4292.68      4057.50      8350.18 
   1948       74         3727.37      3522.17      7249.55 
   1948       75         3814.36      3544.34      7358.70 
   1948       76         3184.46      2836.94      6021.41 
   1948       77         2629.31      2469.45      5098.76 
   1948       78         2461.97      2116.95      4578.92 
   1948       79         2091.99      1854.54      3946.54 
   1948       80         2031.74      1704.60      3736.34 
   1948       81         1776.37      1463.92      3240.29 
   1948       82         1544.40      1238.85      2783.25 
   1948       83         1287.79       992.47      2280.26 
   1948       84         1035.30       791.73      1827.03 
   1948       85          833.20       642.80      1476.00 
   1948       86          663.05       500.00      1163.05 
   1948       87          544.10       381.54       925.64 
   1948       88          454.35       302.72       757.07 
   1948       89          340.45       223.05       563.51 
   1948       90          245.16       160.05       405.22 
   1948       91          188.60       129.71       318.31 
   1948       92          143.49       102.34       245.83 
   1948       93          104.81        68.81       173.62 
   1948       94           75.53        46.66       122.20 
   1948       95           50.05        32.29        82.34 
   1948       96           35.79        19.33        55.11 
   1948       97           28.00        14.00        42.01 
   1948       98           19.39        11.24        30.64 
   1948       99           13.33         7.60        20.93 
   1948      100           10.83         5.40        16.22 
   1948      101            8.68         3.96        12.63 
   1948      102            6.22         2.36         8.58 
   1948      103            4.67         0.90         5.58 
   1948      104            3.11         0.17         3.29 
   1948      105            2.24         0.28         2.51 
   1948      106            2.34         0.50         2.84 
   1948      107            1.26         0.50         1.76 
   1948      108            0.50         0.50         1.00 
   1948      109            0.50         0.23         0.72 
   1948      110           1.23         1.00         2.23 
   1949        0        23388.19     24510.47     47898.67 
   1949        1        23209.37     24196.88     47406.25 
   1949        2        22514.60     23444.75     45959.35 
   1949        3        20728.44     21576.13     42304.57 
   1949        4        18575.50     19365.47     37940.97 
   1949        5        17121.30     17896.42     35017.72 
   1949        6        16894.49     17517.35     34411.84 
   1949        7        17326.94     17804.57     35131.51 
   1949        8        17213.50     17678.52     34892.02 
   1949        9        16246.75     16674.45     32921.20 
   1949       10        15111.40     15434.09     30545.49 
   1949       11        14255.99     14521.03     28777.02 
   1949       12        13605.82     13925.72     27531.54 
   1949       13        13058.15     13550.44     26608.59 
   1949       14        12722.76     13355.25     26078.02 
   1949       15        12664.90     13265.08     25929.98 
   1949       16        12837.12     13359.70     26196.82 
   1949       17        13176.93     13696.95     26873.89 
   1949       18        13499.66     13979.81     27479.48 
   1949       19        13585.04     14042.51     27627.55 
   1949       20        13555.03     14105.12     27660.15 
   1949       21        13632.28     14255.21     27887.49 
   1949       22        13819.76     14460.28     28280.04 
   1949       23        13964.88     14543.02     28507.91 
   1949       24        14047.47     14360.93     28408.40 
   1949       25        14149.90     14120.66     28270.55 
   1949       26        14334.78     14032.90     28367.68 
   1949       27        14557.31     14060.38     28617.69 
   1949       28        14545.44     13935.70     28481.13 
   1949       29        13998.76     13466.21     27464.97 
   1949       30        13423.03     13015.58     26438.62 
   1949       31        13469.55     13107.21     26576.76 
   1949       32        13832.16     13489.73     27321.90 
   1949       33        13995.01     13770.04     27765.06 
   1949       34        13945.34     13892.65     27837.98 
   1949       35        13777.88     13857.84     27635.72 
   1949       36        13552.92     13702.93     27255.85 
   1949       37        13277.92     13562.74     26840.66 
   1949       38        13085.22     13515.18     26600.41 
   1949       39        12942.79     13400.41     26343.21 
   1949       40        12668.02     13147.94     25815.96 
   1949       41        12342.94     12872.89     25215.83 
   1949       42        12110.30     12642.83     24753.13 
   1949       43        11833.05     12375.49     24208.54 
   1949       44        11353.33     11938.26     23291.59 
   1949       45        10835.66     11443.06     22278.72 
   1949       46        10482.88     11072.91     21555.79 
   1949       47        10432.34     10929.94     21362.28 
   1949       48        10569.82     10947.38     21517.20 
   1949       49        10365.80     10603.35     20969.15 
   1949       50         9798.26      9843.48     19641.74 
   1949       51         9480.07      9245.43     18725.49 
   1949       52         9517.35      8950.19     18467.54 
   1949       53         9495.22      8660.39     18155.61 
   1949       54         9140.73      8247.99     17388.72 
   1949       55         8747.80      7965.02     16712.81 
   1949       56         8604.99      7944.76     16549.75 
   1949       57         8525.11      7997.30     16522.41 
   1949       58         8412.60      8014.78     16427.38 
   1949       59         8297.58      8004.85     16302.43 
   1949       60         8209.85      7954.74     16164.60 
   1949       61         8164.83      7924.68     16089.51 
   1949       62         8137.31      7954.62     16091.93 
   1949       63         8029.98      7877.34     15907.32 
   1949       64         7720.36      7567.63     15287.99 
   1949       65         7312.40      7197.18     14509.58 
   1949       66         7109.58      6987.00     14096.57 
   1949       67         7101.92      6906.95     14008.87 
   1949       68         7069.46      6762.06     13831.52 
   1949       69         6770.04      6370.05     13140.09 
   1949       70         6187.45      5777.40     11964.85 
   1949       71         5634.86      5257.26     10892.11 
   1949       72         5194.64      4849.58     10044.22 
   1949       73         4697.32      4369.69      9067.01 
   1949       74         4087.54      3764.87      7852.41 
   1949       75         3844.24      3549.34      7393.57 
   1949       76         3336.91      2944.43      6281.34 
   1949       77         2634.17      2497.03      5131.20 
   1949       78         2601.84      2219.52      4821.36 
   1949       79         2141.76      1936.98      4078.74 
   1949       80         2175.54      1832.09      4007.63 
   1949       81         1851.07      1524.61      3375.68 
   1949       82         1598.88      1299.35      2898.22 
   1949       83         1371.39      1078.70      2450.09 
   1949       84         1130.48       848.24      1978.72 
   1949       85          894.14       670.37      1564.51 
   1949       86          712.49       529.76      1242.24 
   1949       87          561.87       400.91       962.78 
   1949       88          455.00       303.25       758.25 
   1949       89          373.99       237.66       611.66 
   1949       90          271.99       177.57       449.57 
   1949       91          193.14       127.82       320.97 
   1949       92          148.33        99.42       247.75 
   1949       93          109.47        71.60       181.07 
   1949       94           79.79        48.61       128.40 
   1949       95           57.95        34.81        92.76 
   1949       96           36.56        22.32        58.89 
   1949       97           25.54        12.90        38.44 
   1949       98           20.76         8.75        29.51 
   1949       99           14.40         6.03        20.43 
   1949      100            8.66         4.25        12.91 
   1949      101            7.30         3.47        10.77 
   1949      102            6.67         2.47         9.14 
   1949      103            4.44         1.45         5.89 
   1949      104            2.99         0.45         3.44 
   1949      105            1.97         0.00         1.97 
   1949      106            1.76         0.28         2.04 
   1949      107            2.00         0.50         2.50 
   1949      108            1.21         0.50         1.71 
   1949      109            0.50         0.50         1.00 
   1949      110           1.73         1.23         2.96 
   1950        0        23407.57     24573.29     47980.86 
   1950        1        23108.38     24188.76     47297.14 
   1950        2        23162.84     24122.89     47285.73 
   1950        3        22519.45     23429.50     45948.95 
   1950        4        20708.12     21560.90     42269.03 
   1950        5        18537.70     19312.67     37850.37 
   1950        6        17121.26     17923.93     35045.19 
   1950        7        16954.63     17592.47     34547.11 
   1950        8        17449.73     17952.47     35402.20 
   1950        9        17148.30     17635.81     34784.11 
   1950       10        16264.24     16742.04     33006.28 
   1950       11        15158.97     15504.21     30663.18 
   1950       12        14263.46     14571.10     28834.56 
   1950       13        13620.87     13975.76     27596.62 
   1950       14        13078.20     13602.98     26681.18 
   1950       15        12750.33     13387.73     26138.05 
   1950       16        12712.51     13317.64     26030.15 
   1950       17        12879.73     13412.21     26291.94 
   1950       18        13179.45     13762.05     26941.50 
   1950       19        13512.24     14017.35     27529.59 
   1950       20        13557.51     14055.04     27612.55 
   1950       21        13522.48     14202.47     27724.95 
   1950       22        13639.82     14442.56     28082.38 
   1950       23        13869.94     14632.48     28502.42 
   1950       24        13999.99     14710.33     28710.32 
   1950       25        14085.03     14525.82     28610.86 
   1950       26        14207.46     14230.48     28437.94 
   1950       27        14404.86     14265.48     28670.33 
   1950       28        14642.44     14285.58     28928.03 
   1950       29        14580.44     14100.77     28681.21 
   1950       30        14026.20     13603.77     27629.97 
   1950       31        13350.24     13052.90     26403.15 
   1950       32        13604.81     13275.00     26879.81 
   1950       33        13919.91     13622.39     27542.29 
   1950       34        13999.97     13807.39     27807.36 
   1950       35        13962.72     13899.95     27862.67 
   1950       36        13770.26     13882.77     27653.02 
   1950       37        13580.49     13725.34     27305.83 
   1950       38        13315.52     13625.31     26940.83 
   1950       39        13117.78     13575.28     26693.06 
   1950       40        12975.43     13442.95     26418.38 
   1950       41        12673.06     13150.42     25823.47 
   1950       42        12327.92     12892.93     25220.85 
   1950       43        12102.82     12647.82     24750.64 
   1950       44        11813.04     12365.49     24178.53 
   1950       45        11323.33     11910.69     23234.02 
   1950       46        10755.52     11395.46     22150.99 
   1950       47        10490.49     11092.98     21583.47 
   1950       48        10414.92     10930.04     21344.96 
   1950       49        10587.49     10942.56     21530.05 
   1950       50        10333.35     10573.49     20906.84 
   1950       51         9615.41      9658.20     19273.62 
   1950       52         9447.59      9195.47     18643.06 
   1950       53         9512.50      8920.30     18432.81 
   1950       54         9400.17      8575.39     17975.56 
   1950       55         9030.60      8132.95     17163.55 
   1950       56         8570.08      7822.42     16392.50 
   1950       57         8562.65      7912.47     16475.12 
   1950       58         8450.18      7882.36     16332.55 
   1950       59         8310.14      7894.86     16204.99 
   1950       60         8200.00      7857.33     16057.33 
   1950       61         8109.89      7779.79     15889.68 
   1950       62         8087.41      7774.71     15862.12 
   1950       63         8024.88      7762.15     15787.03 
   1950       64         7902.48      7649.90     15552.38 
   1950       65         7595.21      7284.90     14880.11 
   1950       66         7112.36      6912.23     14024.58 
   1950       67         7002.14      6779.62     13781.77 
   1950       68         6982.08      6684.60     13666.67 
   1950       69         6894.49      6479.58     13374.08 
   1950       70         6552.33      6079.86     12632.19 
   1950       71         5889.89      5432.32     11322.21 
   1950       72         5397.07      4977.13     10374.19 
   1950       73         4964.68      4564.67      9529.35 
   1950       74         4459.75      4072.34      8532.09 
   1950       75         3957.02      3621.98      7579.00 
   1950       76         3512.02      3084.47      6596.49 
   1950       77         2754.61      2599.67      5354.28 
   1950       78         2749.37      2346.98      5096.35 
   1950       79         2244.48      2037.01      4281.48 
   1950       80         2328.05      1981.16      4309.22 
   1950       81         1985.87      1635.62      3621.49 
   1950       82         1676.85      1349.72      3026.57 
   1950       83         1423.34      1133.82      2557.15 
   1950       84         1201.86       921.60      2123.46 
   1950       85          973.34       711.85      1685.19 
   1950       86          758.77       550.60      1309.38 
   1950       87          595.39       425.96      1021.35 
   1950       88          465.97       318.13       784.10 
   1950       89          367.80       236.96       604.76 
   1950       90          289.06       187.43       476.49 
   1950       91          209.02       142.91       351.93 
   1950       92          147.16        98.80       245.96 
   1950       93          110.10        70.68       180.77 
   1950       94           81.98        52.90       134.88 
   1950       95           59.93        36.26        96.19 
   1950       96           40.47        22.35        62.82 
   1950       97           24.16        12.91        37.06 
   1950       98           18.31         7.17        25.48 
   1950       99           14.53         4.22        18.75 
   1950      100            9.61         2.78        12.39 
   1950      101            6.46         2.79         9.25 
   1950      102            6.31         2.47         8.78 
   1950      103            5.67         2.00         7.67 
   1950      104            3.18         1.45         4.63 
   1950      105            2.01         0.45         2.46 
   1950      106            1.73         0.00         1.73 
   1950      107            1.76         0.28         2.04 
   1950      108            1.74         0.50         2.25 
   1950      109            0.71         0.50         1.22 
   1950      110           2.00         1.73         3.73 
   1951        0        23720.80     24949.35     48670.15 
   1951        1        23061.64     24194.02     47255.66 
   1951        2        23069.86     24070.16     47140.02 
   1951        3        23180.33     24100.30     47280.62 
   1951        4        22409.26     23326.81     45736.07 
   1951        5        20555.47     21340.61     41896.07 
   1951        6        18525.22     19382.75     37907.97 
   1951        7        17308.90     18111.61     35420.51 
   1951        8        17304.95     17982.80     35287.75 
   1951        9        17242.06     17789.76     35031.82 
   1951       10        17183.27     17798.41     34981.68 
   1951       11        16364.33     16912.19     33276.52 
   1951       12        15153.97     15614.30     30768.27 
   1951       13        14316.03     14661.16     28977.19 
   1951       14        13673.42     14050.79     27724.22 
   1951       15        13153.27     13647.95     26801.22 
   1951       16        12887.96     13482.78     26370.74 
   1951       17        12830.12     13375.15     26205.27 
   1951       18        12904.80     13542.30     26447.10 
   1951       19        13274.60     13852.13     27126.73 
   1951       20        13454.77     13924.95     27379.72 
   1951       21        13497.51     14077.48     27574.98 
   1951       22        13592.62     14345.07     27937.69 
   1951       23        13850.07     14562.65     28412.72 
   1951       24        14012.63     14787.69     28800.32 
   1951       25        14120.16     14878.06     28998.22 
   1951       26        14225.18     14613.42     28838.60 
   1951       27        14362.60     14645.86     29008.46 
   1951       28        14612.59     14690.92     29303.51 
   1951       29        14702.51     14563.35     29265.86 
   1951       30        14587.93     14320.96     28908.90 
   1951       31        13745.96     13543.72     27289.68 
   1951       32        13703.05     13438.25     27141.30 
   1951       33        13882.64     13542.73     27425.37 
   1951       34        13892.37     13589.83     27482.20 
   1951       35        13967.39     13709.67     27677.06 
   1951       36        13890.15     13864.89     27755.04 
   1951       37        13845.34     13855.18     27700.52 
   1951       38        13680.57     13815.44     27496.01 
   1951       39        13410.62     13757.93     27168.56 
   1951       40        13257.96     13702.84     26960.80 
   1951       41        13018.01     13452.97     26470.98 
   1951       42        12635.56     13195.48     25831.04 
   1951       43        12332.96     12885.41     25218.37 
   1951       44        12077.83     12625.32     24703.14 
   1951       45        11768.07     12330.44     24098.51 
   1951       46        11150.73     11783.08     22933.80 
   1951       47        10835.65     11473.04     22308.69 
   1951       48        10538.10     11158.06     21696.17 
   1951       49        10562.66     11040.19     21602.84 
   1951       50        10607.61     11005.18     21612.79 
   1951       51         9913.05     10158.17     20071.22 
   1951       52         9610.52      9633.22     19243.73 
   1951       53         9545.30      9235.55     18780.84 
   1951       54         9375.00      8817.77     18192.77 
   1951       55         9220.08      8402.80     17622.88 
   1951       56         8665.43      7900.31     16565.74 
   1951       57         8635.25      7917.56     16552.81 
   1951       58         8525.25      7819.98     16345.24 
   1951       59         8362.77      7794.89     16157.66 
   1951       60         8245.08      7764.78     16009.86 
   1951       61         8127.59      7679.81     15807.40 
   1951       62         8087.52      7642.24     15729.76 
   1951       63         7999.99      7577.16     15577.15 
   1951       64         7877.39      7539.62     15417.01 
   1951       65         7819.86      7332.11     15151.97 
   1951       66         7327.68      6954.84     14282.51 
   1951       67         7107.56      6762.22     13869.79 
   1951       68         7002.37      6627.14     13629.51 
   1951       69         6824.64      6391.99     13216.62 
   1951       70         6649.34      6164.23     12813.57 
