   Year      Age       Female          Male         Total
   1958        0       356907.01    374904.85    731811.85 
   1958        1       351927.30    368017.23    719944.54 
   1958        2       353496.33    370338.15    723834.48 
   1958        3       351612.56    367073.84    718686.40 
   1958        4       346474.08    360274.00    706748.09 
   1958        5       343878.64    358074.57    701953.21 
   1958        6       339178.43    352442.20    691620.62 
   1958        7       334080.21    347041.80    681122.01 
   1958        8       320313.64    332915.05    653228.69 
   1958        9       307942.13    319702.36    627644.49 
   1958       10       295927.61    307191.51    603119.12 
   1958       11       274919.93    283390.79    558310.72 
   1958       12       229497.41    235398.58    464895.99 
   1958       13       194132.39    198453.08    392585.47 
   1958       14       190280.73    193623.45    383904.18 
   1958       15       187056.42    190374.04    377430.46 
   1958       16       191912.47    196203.99    388116.46 
   1958       17       204357.02    210697.82    415054.84 
   1958       18       212902.23    222673.84    435576.07 
   1958       19       215148.44    225307.79    440456.23 
   1958       20       218611.45    225042.50    443653.96 
   1958       21       224814.18    227063.34    451877.52 
   1958       22       229111.56    229569.00    458680.56 
   1958       23       227419.07    228067.05    455486.12 
   1958       24       224858.10    225971.39    450829.49 
   1958       25       230868.49    232061.12    462929.61 
   1958       26       238253.36    240032.18    478285.53 
   1958       27       246667.59    248539.56    495207.15 
   1958       28       247246.61    246852.42    494099.03 
   1958       29       240311.48    236162.83    476474.31 
   1958       30       233958.14    223783.45    457741.58 
   1958       31       229936.31    210577.39    440513.71 
   1958       32       239890.26    211545.14    451435.39 
   1958       33       238673.13    206976.83    445649.97 
   1958       34       229354.67    197993.47    427348.14 
   1958       35       224918.67    194342.62    419261.29 
   1958       36       203579.95    178572.53    382152.48 
   1958       37       188135.63    168841.39    356977.02 
   1958       38       179244.30    158957.11    338201.41 
   1958       39       146408.51    125955.51    272364.02 
   1958       40       121912.42    105113.55    227025.97 
   1958       41       124054.68    107033.18    231087.85 
   1958       42       136448.50    114554.70    251003.20 
   1958       43       164350.62    136601.95    300952.57 
   1958       44       182679.30    155689.93    338369.23 
   1958       45       189250.03    163015.90    352265.93 
   1958       46       189077.92    164670.44    353748.36 
   1958       47       187493.27    166534.74    354028.01 
   1958       48       189177.32    169560.80    358738.12 
   1958       49       182315.90    164333.39    346649.29 
   1958       50       180635.36    162654.82    343290.18 
   1958       51       176982.86    159286.29    336269.14 
   1958       52       169572.83    149066.76    318639.59 
   1958       53       164095.35    142887.28    306982.63 
   1958       54       158354.54    138339.35    296693.89 
   1958       55       155750.57    134192.80    289943.38 
   1958       56       149884.07    126922.84    276806.91 
   1958       57       151324.08    120449.73    271773.81 
   1958       58       142654.94    110919.96    253574.90 
   1958       59       126328.81     99295.68    225624.49 
   1958       60       124104.96     94906.41    219011.36 
   1958       61       118688.90     88626.00    207314.90 
   1958       62       114167.12     82373.05    196540.17 
