   Year      Age       Female          Male         Total
   1940        0        79647.65     85322.83    164970.48 
   1940        1        81192.01     85014.55    166206.56 
   1940        2        85045.73     89282.10    174327.84 
   1940        3        85126.63     88499.96    173626.59 
   1940        4        84364.98     87883.76    172248.73 
   1940        5        83881.19     88396.09    172277.28 
   1940        6        83403.04     87044.99    170448.03 
   1940        7        83063.44     85673.12    168736.57 
   1940        8        79782.39     82628.79    162411.18 
   1940        9        79927.28     84412.49    164339.76 
   1940       10        78390.58     82669.84    161060.42 
   1940       11        78628.51     80881.27    159509.79 
   1940       12        80121.32     81288.98    161410.30 
   1940       13        78345.02     79943.98    158289.00 
   1940       14        78937.09     81399.38    160336.46 
   1940       15        78872.29     79184.49    158056.78 
   1940       16        77342.94     76410.67    153753.60 
   1940       17        77035.42     76104.45    153139.87 
   1940       18        72362.19     70875.20    143237.39 
   1940       19        70532.45     67275.88    137808.34 
   1940       20        64844.57     66435.91    131280.48 
   1940       21        57851.59     60925.28    118776.87 
   1940       22        62112.99     60717.88    122830.87 
   1940       23        63328.80     62452.99    125781.79 
   1940       24        65213.22     63098.87    128312.08 
   1940       25        65332.98     62585.51    127918.49 
   1940       26        63214.16     60320.76    123534.92 
   1940       27        64680.88     61177.47    125858.35 
   1940       28        60135.31     57359.61    117494.92 
   1940       29        63134.79     59299.28    122434.07 
   1940       30        60862.23     57191.28    118053.51 
   1940       31        53950.34     51251.53    105201.87 
   1940       32        58135.40     53244.92    111380.32 
   1940       33        55287.20     49809.23    105096.43 
   1940       34        56440.95     49487.78    105928.73 
   1940       35        57580.65     49351.86    106932.51 
   1940       36        53351.89     46059.76     99411.65 
   1940       37        53230.02     45806.29     99036.31 
   1940       38        50569.37     44324.55     94893.92 
   1940       39        54303.07     47260.05    101563.12 
   1940       40        49434.58     42888.52     92323.10 
   1940       41        41513.46     36279.48     77792.94 
   1940       42        44511.48     37597.34     82108.82 
   1940       43        41864.19     35321.01     77185.19 
   1940       44        43988.82     37359.18     81348.00 
   1940       45        43236.35     36798.91     80035.26 
   1940       46        39167.91     33316.11     72484.01 
   1940       47        41840.46     34514.92     76355.38 
   1940       48        40577.12     33171.86     73748.99 
   1940       49        44657.76     35060.36     79718.11 
   1940       50        41768.42     33102.12     74870.55 
   1940       51        34685.00     29373.98     64058.98 
   1940       52        37516.55     30921.29     68437.84 
   1940       53        35305.07     28287.78     63592.85 
   1940       54        36304.17     28524.42     64828.58 
   1940       55        36576.21     28543.72     65119.93 
   1940       56        32449.37     25459.66     57909.03 
   1940       57        31925.49     24833.36     56758.84 
   1940       58        29674.55     23528.90     53203.45 
   1940       59        36783.04     27703.17     64486.21 
   1940       60        34771.00     26124.09     60895.08 
   1940       61        24210.89     19590.94     43801.83 
   1940       62        27404.90     21857.73     49262.63 
   1940       63        26441.65     21044.68     47486.33 
   1940       64        28146.96     20770.79     48917.75 
   1940       65        27924.27     20504.04     48428.31 
   1940       66        22927.57     17458.28     40385.85 
   1940       67        22067.06     15991.18     38058.24 
   1940       68        19140.70     13980.76     33121.46 
   1940       69        23246.17     15764.39     39010.56 
   1940       70        21563.25     14475.86     36039.11 
   1940       71        13786.14     10054.74     23840.88 
   1940       72        14788.66     10571.38     25360.04 
   1940       73        13113.86      9632.58     22746.45 
   1940       74        14654.77      9773.43     24428.20 
   1940       75        14214.29      8984.72     23199.01 
   1940       76        10979.81      7370.13     18349.95 
   1940       77        10713.16      6884.70     17597.87 
   1940       78         8764.70      5586.34     14351.04 
   1940       79         8066.49      4883.50     12949.99 
   1940       80         9124.08      4895.01     14019.09 
   1940       81         7678.47      4066.95     11745.42 
   1940       82         6660.82      3419.84     10080.66 
