   Year      Age       Female          Male         Total
   1950        0        43102.00     45586.22     88688.22 
   1950        1        39086.46     40857.50     79943.96 
   1950        2        37599.11     39136.53     76735.64 
   1950        3        35508.50     36655.62     72164.12 
   1950        4        33504.50     34012.05     67516.55 
   1950        5        32572.84     32720.14     65292.97 
   1950        6        32146.90     32482.66     64629.56 
   1950        7        31641.24     32113.16     63754.40 
   1950        8        31468.67     31853.43     63322.10 
   1950        9        31392.05     31832.93     63224.98 
   1950       10        31029.99     31435.49     62465.48 
   1950       11        30201.84     30358.74     60560.58 
   1950       12        29436.22     29464.42     58900.63 
   1950       13        29179.30     29243.42     58422.72 
   1950       14        29438.24     29615.41     59053.65 
   1950       15        29630.60     29980.06     59610.65 
   1950       16        29841.72     29875.08     59716.81 
   1950       17        30563.69     29945.67     60509.37 
   1950       18        31243.21     30613.16     61856.37 
   1950       19        31467.89     31010.01     62477.90 
   1950       20        31220.03     30496.01     61716.04 
   1950       21        30710.86     29638.15     60349.01 
   1950       22        30468.17     29354.32     59822.49 
   1950       23        30416.97     29398.65     59815.63 
   1950       24        30469.69     29467.81     59937.50 
   1950       25        30821.15     29796.57     60617.72 
   1950       26        31726.40     30688.54     62414.94 
   1950       27        32479.52     31438.77     63918.29 
   1950       28        31963.99     30864.88     62828.87 
   1950       29        30022.67     28968.90     58991.57 
   1950       30        25948.19     24923.32     50871.50 
   1950       31        19926.72     19023.26     38949.98 
   1950       32        14519.21     13822.11     28341.31 
   1950       33        13928.64     13193.12     27121.76 
   1950       34        17187.62     15891.50     33079.13 
   1950       35        22181.55     20252.63     42434.19 
   1950       36        25788.88     23632.86     49421.75 
   1950       37        26455.46     24449.45     50904.92 
   1950       38        26046.58     24425.01     50471.58 
   1950       39        25873.02     24610.63     50483.65 
   1950       40        26256.16     25066.97     51323.12 
   1950       41        26216.39     25014.99     51231.39 
   1950       42        25366.52     24146.21     49512.72 
   1950       43        24315.44     23040.66     47356.10 
   1950       44        23571.67     22142.61     45714.28 
   1950       45        23257.55     21652.49     44910.03 
   1950       46        23004.88     21359.79     44364.68 
   1950       47        22555.10     21042.23     43597.33 
   1950       48        22341.11     21045.72     43386.83 
   1950       49        22312.42     21038.84     43351.26 
   1950       50        21631.24     19999.04     41630.28 
   1950       51        20349.82     18185.90     38535.72 
   1950       52        19608.77     16887.67     36496.45 
   1950       53        19201.78     16217.44     35419.22 
   1950       54        18395.67     15426.91     33822.58 
   1950       55        17048.97     14254.55     31303.52 
   1950       56        15681.75     13053.52     28735.28 
   1950       57        14645.80     12027.79     26673.59 
   1950       58        13735.34     11153.21     24888.56 
   1950       59        13172.44     10551.17     23723.61 
   1950       60        13028.08     10178.27     23206.35 
   1950       61        13266.71     10117.31     23384.02 
   1950       62        13052.01      9904.20     22956.21 
   1950       63        12398.07      9404.54     21802.61 
   1950       64        11892.49      8787.38     20679.87 
   1950       65        11300.07      8250.33     19550.41 
   1950       66        10662.72      7902.54     18565.27 
   1950       67        10220.87      7760.23     17981.09 
   1950       68         9647.61      7585.03     17232.64 
   1950       69         8789.17      7213.98     16003.15 
   1950       70         8124.94      6819.81     14944.75 
   1950       71         7686.58      6331.11     14017.69 
   1950       72         7205.83      5745.61     12951.43 
   1950       73         6911.19      5344.99     12256.18 
   1950       74         6778.01      5129.75     11907.76 
   1950       75         6224.76      4809.39     11034.15 
   1950       76         5591.52      4252.62      9844.14 
   1950       77         5173.15      3616.34      8789.49 
   1950       78         4700.51      3089.73      7790.23 
   1950       79         4289.22      2781.98      7071.20 
   1950       80         3363.61      2668.09      6031.70 
   1950       81         2787.43      2240.35      5027.78 
   1950       82         2255.14      1780.93      4036.07 
   1950       83         1948.37      1446.98      3395.35 
   1950       84         1648.71      1132.13      2780.84 
   1950       85         1348.02       902.11      2250.13 
   1950       86         1111.34       697.27      1808.61 
   1950       87          865.59       502.04      1367.63 
   1950       88          570.26       357.65       927.90 
   1950       89          429.58       269.95       699.53 
   1950       90          336.28       211.02       547.30 
   1950       91          226.20       131.86       358.06 
   1950       92          165.99        85.11       251.09 
   1950       93          108.15        51.14       159.28 
   1950       94           66.15        28.49        94.64 
   1950       95           35.33        16.36        51.69 
   1950       96           30.32        11.46        41.77 
   1950       97           21.02         8.32        29.34 
   1950       98           17.25        10.60        27.84 
   1950       99           12.91         7.93        20.85 
   1950      100            5.59         2.82         8.41 
   1950      101            3.25         1.55         4.79 
   1950      102            1.68         0.65         2.33 
   1950      103            0.48         0.21         0.69 
   1950      104            0.00         0.00         0.00 
   1950      105            0.00         0.00         0.00 
   1950      106            0.00         0.00         0.00 
   1950      107            0.00         0.00         0.00 
   1950      108            0.00         0.00         0.00 
   1950      109            0.00         0.00         0.00 
   1950      110           0.00         0.00         0.00 
   1951        0        45338.80     47845.33     93184.13 
   1951        1        41253.85     43349.57     84603.42 
   1951        2        38942.09     40685.58     79627.67 
   1951        3        37654.86     39190.89     76845.74 
   1951        4        35526.51     36672.62     72199.13 
   1951        5        33425.64     33955.48     67381.12 
   1951        6        32550.72     32742.65     65293.37 
   1951        7        32133.46     32518.11     64651.57 
