   Year      Age       Female          Male         Total
   1983        0        13531.00     14296.00     27827.00 
   1983        1        13979.17     14836.33     28815.50 
   1983        2        14321.67     15200.83     29522.50 
   1983        3        14552.17     15665.33     30217.50 
   1983        4        14449.33     15815.33     30264.67 
   1983        5        14371.50     15670.67     30042.17 
   1983        6        14625.83     15633.50     30259.33 
   1983        7        14688.17     15507.83     30196.00 
   1983        8        14216.83     15190.50     29407.33 
   1983        9        14005.83     15071.17     29077.00 
   1983       10        14055.50     14959.50     29015.00 
   1983       11        13731.17     14713.33     28444.50 
   1983       12        13416.83     14154.00     27570.83 
   1983       13        13339.50     13999.00     27338.50 
   1983       14        13383.00     14360.17     27743.17 
   1983       15        13852.83     14519.83     28372.67 
   1983       16        14420.50     15000.17     29420.67 
   1983       17        14697.67     15240.67     29938.33 
   1983       18        14562.33     14737.17     29299.50 
   1983       19        14397.17     14524.00     28921.17 
   1983       20        14559.83     14703.67     29263.50 
   1983       21        14885.50     14833.00     29718.50 
   1983       22        15083.00     14698.17     29781.17 
   1983       23        14986.50     14868.50     29855.00 
   1983       24        14902.33     15138.17     30040.50 
   1983       25        15373.33     15512.33     30885.67 
   1983       26        15994.00     16324.67     32318.67 
   1983       27        16071.33     16911.83     32983.17 
   1983       28        16043.50     16892.17     32935.67 
   1983       29        16119.00     17086.67     33205.67 
   1983       30        16138.17     17313.00     33451.17 
   1983       31        15826.00     16960.00     32786.00 
   1983       32        15711.17     16891.33     32602.50 
   1983       33        15123.33     16404.83     31528.17 
   1983       34        14160.50     15295.17     29455.67 
   1983       35        13687.33     14735.00     28422.33 
   1983       36        12964.83     13796.17     26761.00 
   1983       37        10822.33     11451.00     22273.33 
   1983       38        10178.67     10938.83     21117.50 
   1983       39        12036.33     12583.83     24620.17 
   1983       40        12828.17     13217.67     26045.83 
   1983       41        12344.50     13016.67     25361.17 
   1983       42        12026.67     12838.17     24864.83 
   1983       43        12128.67     12715.67     24844.33 
   1983       44        11935.00     12264.50     24199.50 
   1983       45        11721.83     12034.17     23756.00 
   1983       46        11909.17     12288.83     24198.00 
   1983       47        12001.50     12356.00     24357.50 
   1983       48        12030.67     12039.83     24070.50 
   1983       49        12320.33     11810.50     24130.83 
   1983       50        12635.17     11891.83     24527.00 
   1983       51        12747.33     11896.17     24643.50 
   1983       52        12928.67     12148.33     25077.00 
   1983       53        12632.33     11760.50     24392.83 
   1983       54        12131.17     10825.17     22956.33 
   1983       55        12055.50     10237.33     22292.83 
   1983       56        11996.33      9224.83     21221.17 
   1983       57        12003.17      8484.33     20487.50 
   1983       58        11767.83      7969.67     19737.50 
   1983       59        11504.00      7689.83     19193.83 
   1983       60        11217.50      7376.67     18594.17 
   1983       61        10692.83      6831.83     17524.67 
   1983       62         9847.83      6376.17     16224.00 
   1983       63         8586.83      5683.83     14270.67 
   1983       64         6470.33      4268.67     10739.00 
   1983       65         4781.67      3186.17      7967.83 
   1983       66         4571.50      3130.17      7701.67 
   1983       67         5557.33      3784.50      9341.83 
   1983       68         7536.00      5113.83     12649.83 
   1983       69         8680.00      5777.00     14457.00 
   1983       70         8714.50      5724.67     14439.17 
   1983       71         8224.33      5456.33     13680.67 
   1983       72         7853.00      5168.33     13021.33 
   1983       73         7726.00      4991.50     12717.50 
   1983       74         7197.17      4507.00     11704.17 
   1983       75         6608.33      3923.33     10531.67 
   1983       76         6183.67      3503.50      9687.17 
   1983       77         5734.00      3160.33      8894.33 
   1983       78         5187.17      2773.50      7960.67 
   1983       79         4673.00      2442.33      7115.33 
   1983       80         4216.47      2073.00      6289.47 
   1983       81         3725.50      1741.17      5466.67 
   1983       82         3257.83      1485.50      4743.33 
   1983       83         2831.67      1239.00      4070.67 
   1983       84         2319.00       961.33      3280.33 
   1983       85         1901.00       698.67      2599.67 
   1983       86         1552.33       541.83      2094.17 
   1983       87         1175.33       398.83      1574.17 
   1983       88          895.50       300.50      1196.00 
   1983       89          634.67       218.17       852.83 
   1983       90          486.50       145.50       632.00 
   1983       91          360.17       105.17       465.33 
   1983       92          240.83        70.50       311.33 
   1983       93          164.00        46.00       210.00 
   1983       94          125.33        28.17       153.50 
   1983       95           77.67        16.50        94.17 
   1983       96           44.67        10.50        55.17 
   1983       97           31.50         8.67        40.17 
   1983       98           13.50         4.50        18.00 
   1983       99            9.83         1.67        11.50 
   1983      100            6.67         2.00         8.67 
   1983      101            2.33         1.00         3.33 
