   Year      Age       Female          Male         Total
   1876        0        34987.00     35580.67     70567.67 
   1876        1        33219.33     33478.17     66697.50 
   1876        2        32387.33     32791.33     65178.67 
   1876        3        32053.17     32538.83     64592.00 
   1876        4        31788.83     32258.17     64047.00 
   1876        5        30191.67     30097.67     60289.33 
   1876        6        29185.17     28780.00     57965.17 
   1876        7        28817.33     28583.17     57400.50 
   1876        8        28394.50     28118.17     56512.67 
   1876        9        28230.33     27739.50     55969.83 
   1876       10        28064.83     27446.00     55510.83 
   1876       11        27908.17     27316.17     55224.33 
   1876       12        27751.50     27215.17     54966.67 
   1876       13        27409.50     26933.67     54343.17 
   1876       14        26882.00     26412.50     53294.50 
   1876       15        26368.33     25796.33     52164.67 
   1876       16        25862.17     25229.17     51091.33 
   1876       17        25369.33     24567.83     49937.17 
   1876       18        24772.33     23794.83     48567.17 
   1876       19        24056.00     23080.50     47136.50 
   1876       20        23215.00     22388.50     45603.50 
   1876       21        22503.00     21716.17     44219.17 
   1876       22        21992.67     21064.83     43057.50 
   1876       23        21664.00     20619.33     42283.33 
   1876       24        21548.67     20374.00     41922.67 
   1876       25        21431.00     20132.33     41563.33 
   1876       26        21316.67     19897.83     41214.50 
   1876       27        21200.83     19666.17     40867.00 
   1876       28        21095.67     19519.00     40614.67 
   1876       29        20990.33     19438.00     40428.33 
   1876       30        20892.33     19360.00     40252.33 
   1876       31        20786.67     19281.17     40067.83 
   1876       32        20682.00     19200.83     39882.83 
   1876       33        20521.83     19033.67     39555.50 
   1876       34        20286.67     18800.33     39087.00 
   1876       35        20055.17     18568.67     38623.83 
   1876       36        19759.50     18339.00     38098.50 
   1876       37        19455.67     18115.17     37570.83 
   1876       38        19080.67     17797.83     36878.50 
   1876       39        18586.50     17388.00     35974.50 
   1876       40        18112.67     16996.17     35108.83 
   1876       41        17644.83     16603.33     34248.17 
   1876       42        17193.50     16222.50     33416.00 
   1876       43        16861.17     15919.33     32780.50 
   1876       44        16659.33     15670.00     32329.33 
   1876       45        16459.67     15435.67     31895.33 
   1876       46        16261.33     15202.83     31464.17 
   1876       47        16057.67     14972.83     31030.50 
   1876       48        15750.83     14656.17     30407.00 
   1876       49        15341.83     14257.83     29599.67 
   1876       50        14943.17     13868.17     28811.33 
   1876       51        14549.83     13486.83     28036.67 
   1876       52        14171.00     13127.17     27298.17 
   1876       53        13706.50     12664.00     26370.50 
   1876       54        13171.17     12113.00     25284.17 
   1876       55        12651.33     11591.17     24242.50 
   1876       56        12164.67     11095.17     23259.83 
   1876       57        11692.00     10626.83     22318.83 
   1876       58        11209.00     10182.67     21391.67 
   1876       59        10712.83      9785.00     20497.83 
   1876       60        10244.67      9416.33     19661.00 
   1876       61         9807.33      9049.50     18856.83 
   1876       62         9387.67      8706.67     18094.33 
   1876       63         8938.33      8294.67     17233.00 
   1876       64         8481.00      7861.17     16342.17 
   1876       65         8048.83      7436.67     15485.50 
   1876       66         7644.67      7045.67     14690.33 
   1876       67         7258.33      6674.50     13932.83 
   1876       68         6807.50      6266.17     13073.67 
   1876       69         6281.17      5823.17     12104.33 
   1876       70         5609.83      5258.00     10867.83 
   1876       71         5124.33      4818.33      9942.67 
   1876       72         4684.17      4412.00      9096.17 
   1876       73         4098.83      3892.00      7990.83 
   1876       74         3595.00      3425.33      7020.33 
   1876       75         3151.50      3021.67      6173.17 
   1876       76         2764.50      2660.50      5425.00 
   1876       77         2426.00      2348.00      4774.00 
   1876       78         2018.50      1958.83      3977.33 
   1876       79         1681.33      1641.67      3323.00 
   1876       80         1229.78      1227.24      2457.02 
   1876       81          974.91       992.91      1967.82 
   1876       82          825.23       825.59      1650.82 
   1876       83          675.55       680.41      1355.96 
   1876       84          523.47       539.01      1062.48 
   1876       85          413.04       409.25       822.30 
   1876       86          303.73       301.50       605.23 
   1876       87          207.67       212.83       420.50 
   1876       88          145.00       171.99       316.99 
   1876       89           98.33       112.98       211.31 
   1876       90           74.76        73.25       148.00 
   1876       91           48.57        46.13        94.70 
   1876       92           32.36        29.77        62.13 
   1876       93           26.84        18.45        45.29 
   1876       94           16.61        10.96        27.57 
   1876       95           11.68         8.45        20.12 
   1876       96            8.86         4.71        13.56 
   1876       97            5.69         1.49         7.17 
   1876       98            2.46         0.62         3.07 
   1876       99            1.40         0.24         1.64 
   1876      100            0.62         0.00         0.62 
   1876      101            0.17         0.00         0.17 
   1876      102            0.00         0.00         0.00 
   1876      103            0.00         0.00         0.00 
   1876      104            0.00         0.00         0.00 
   1876      105            0.00         0.00         0.00 
   1876      106            0.00         0.00         0.00 
   1876      107            0.00         0.00         0.00 
   1876      108            0.00         0.00         0.00 
   1876      109            0.00         0.00         0.00 
   1876      110           0.00         0.00         0.00 
   1877        0        35107.33     35676.33     70783.67 
   1877        1        34099.33     34342.33     68441.67 
   1877        2        32758.50     32942.83     65701.33 
   1877        3        31816.50     32175.67     63992.17 
   1877        4        31436.00     31872.00     63308.00 
   1877        5        31116.50     31536.17     62652.67 
   1877        6        29730.00     29674.83     59404.83 
   1877        7        28933.83     28614.50     57548.33 
   1877        8        28558.83     28357.67     56916.50 
   1877        9        28185.00     27902.50     56087.50 
