   Year      Age       Female          Male         Total
   1970        0       180020.01    191012.65    371032.66 
   1970        1       186942.53    196843.68    383786.20 
   1970        2       183359.02    193559.68    376918.71 
   1970        3       187309.83    199390.15    386699.98 
   1970        4       195725.91    208095.82    403821.73 
   1970        5       199763.07    209405.04    409168.11 
   1970        6       204538.03    213449.33    417987.36 
   1970        7       204796.69    215619.25    420415.94 
   1970        8       203552.23    213313.93    416866.16 
   1970        9       201432.12    212294.42    413726.54 
   1970       10       198081.85    211340.16    409422.01 
   1970       11       195944.33    205206.70    401151.03 
   1970       12       190412.96    197279.00    387691.96 
   1970       13       187302.68    196417.35    383720.03 
   1970       14       187793.18    199426.39    387219.57 
   1970       15       181288.31    193152.68    374440.99 
   1970       16       173451.49    183523.21    356974.70 
   1970       17       169204.61    178321.83    347526.44 
   1970       18       168956.74    178186.52    347143.25 
   1970       19       157959.45    165170.90    323130.35 
   1970       20       140110.29    144125.96    284236.24 
   1970       21       125011.68    129475.53    254487.21 
   1970       22       108507.45    115215.70    223723.15 
   1970       23        93240.21     98342.65    191582.86 
   1970       24        80950.09     83771.20    164721.29 
   1970       25        84281.74     85962.63    170244.36 
   1970       26        91893.30     94038.18    185931.48 
   1970       27        92270.01     94628.04    186898.04 
   1970       28        92494.77     93568.67    186063.44 
   1970       29        94031.54     94705.08    188736.61 
   1970       30        93842.40     93956.13    187798.54 
   1970       31        90019.06     90275.72    180294.79 
   1970       32        86744.39     86239.30    172983.69 
   1970       33        85716.13     84656.98    170373.10 
   1970       34        85968.93     85143.10    171112.03 
   1970       35        83915.60     86070.58    169986.17 
   1970       36        78881.29     87607.35    166488.65 
   1970       37        76639.72     89805.38    166445.11 
   1970       38        76325.38     94689.34    171014.72 
   1970       39        75011.56    100404.83    175416.38 
   1970       40        72167.28    101537.12    173704.41 
   1970       41        70125.22     99789.90    169915.12 
   1970       42        67692.57     99171.24    166863.81 
   1970       43        64394.03     97151.75    161545.78 
   1970       44        62007.50     94353.63    156361.13 
   1970       45        58240.30     89221.31    147461.61 
   1970       46        55330.25     81316.27    136646.52 
   1970       47        55147.98     77296.47    132444.45 
   1970       48        55541.82     77337.80    132879.62 
   1970       49        51051.48     73117.33    124168.81 
   1970       50        44633.22     64263.08    108896.31 
   1970       51        41927.74     58381.76    100309.49 
   1970       52        42225.17     55562.92     97788.09 
   1970       53        40533.97     53381.71     93915.68 
   1970       54        37107.14     50334.80     87441.95 
   1970       55        36647.85     48888.73     85536.58 
   1970       56        36714.03     47932.47     84646.49 
   1970       57        35586.17     48171.25     83757.43 
   1970       58        34964.61     44015.56     78980.17 
