   Year      Age       Female          Male         Total
   1922        0       446849.54    461921.95    908771.49 
   1922        1       452480.82    463987.76    916468.59 
   1922        2       427577.73    439102.38    866680.10 
   1922        3       359372.64    367637.22    727009.86 
   1922        4       326025.47    331448.37    657473.84 
   1922        5       349516.32    355195.04    704711.36 
   1922        6       379820.11    385139.04    764959.16 
   1922        7       404411.29    407120.72    811532.01 
   1922        8       418049.48    419024.29    837073.76 
   1922        9       418158.45    420482.13    838640.58 
   1922       10       415124.26    419291.85    834416.10 
   1922       11       416549.15    420089.68    836638.84 
   1922       12       422425.23    424617.98    847043.21 
   1922       13       428421.72    429380.08    857801.81 
   1922       14       429004.92    428458.98    857463.90 
   1922       15       424053.63    422624.86    846678.50 
   1922       16       419637.55    416993.79    836631.33 
   1922       17       416207.55    410056.79    826264.34 
   1922       18       412741.70    401821.54    814563.24 
   1922       19       410721.70    394599.21    805320.92 
   1922       20       406594.16    382155.65    788749.80 
   1922       21       402524.29    367674.49    770198.77 
   1922       22       399463.02    353952.40    753415.42 
   1922       23       392570.50    335722.00    728292.50 
   1922       24       389144.06    323165.84    712309.90 
   1922       25       386966.32    317296.81    704263.12 
   1922       26       382130.30    313211.92    695342.22 
   1922       27       375764.96    310335.06    686100.02 
   1922       28       370642.69    308161.28    678803.97 
   1922       29       367016.67    306211.56    673228.23 
   1922       30       365759.25    305439.26    671198.52 
   1922       31       360187.19    301589.65    661776.85 
   1922       32       346960.51    293302.42    640262.93 
   1922       33       341821.80    290625.88    632447.68 
   1922       34       342487.37    291340.11    633827.48 
   1922       35       338958.84    288434.42    627393.27 
   1922       36       338478.41    288953.39    627431.81 
   1922       37       334389.30    288341.45    622730.75 
   1922       38       331198.77    286566.58    617765.35 
   1922       39       334200.46    289563.03    623763.48 
   1922       40       336289.18    294274.95    630564.13 
   1922       41       330528.91    292149.30    622678.21 
   1922       42       317372.17    282333.93    599706.11 
   1922       43       310621.20    276230.73    586851.93 
   1922       44       306334.10    273146.89    579480.99 
   1922       45       299950.83    271697.34    571648.17 
   1922       46       296879.23    273606.55    570485.78 
   1922       47       286471.50    268105.53    554577.03 
   1922       48       279223.51    262747.90    541971.40 
   1922       49       277159.07    259968.29    537127.37 
   1922       50       272895.61    255013.96    527909.57 
   1922       51       261145.81    244384.77    505530.58 
   1922       52       241349.35    227781.25    469130.59 
   1922       53       230071.59    216311.11    446382.71 
   1922       54       226407.83    209882.65    436290.48 
   1922       55       217884.45    200690.40    418574.85 
   1922       56       208767.53    192559.08    401326.61 
   1922       57       200065.98    185150.29    385216.27 
   1922       58       193037.53    177269.77    370307.30 
   1922       59       187758.74    170360.74    358119.47 
   1922       60       182474.33    164032.78    346507.11 
   1922       61       174550.35    155833.71    330384.07 
   1922       62       159709.86    142249.33    301959.20 
   1922       63       149505.65    131330.43    280836.08 
   1922       64       145842.75    125672.29    271515.04 
   1922       65       141557.61    120993.17    262550.78 
   1922       66       136253.32    115406.13    251659.45 
   1922       67       126047.24    105623.55    231670.80 
   1922       68       117633.84     97382.99    215016.82 
   1922       69       114166.05     92908.24    207074.30 
   1922       70       109988.05     87132.18    197120.23 
   1922       71       101041.90     77400.65    178442.56 
   1922       72        89278.95     66535.89    155814.83 
   1922       73        81108.37     59186.26    140294.63 
   1922       74        74622.78     53289.15    127911.93 
   1922       75        67806.20     47296.29    115102.49 
   1922       76        62653.07     42726.82    105379.89 
   1922       77        56820.10     37913.93     94734.03 
   1922       78        49613.46     32386.93     82000.39 
   1922       79        42314.28     27244.10     69558.38 
   1922       80        37850.41     23398.46     61248.87 
   1922       81        33646.69     20192.84     53839.53 
   1922       82        28860.25     16631.89     45492.14 
   1922       83        23336.42     12966.24     36302.66 
   1922       84        18667.38     10129.90     28797.28 
   1922       85        14978.71      7944.02     22922.73 
   1922       86        11817.29      6048.93     17866.22 
   1922       87         9214.69      4471.19     13685.88 
   1922       88         7162.72      3319.97     10482.69 
   1922       89         5425.80      2457.76      7883.57 
   1922       90         3958.21      1737.34      5695.55 
   1922       91         2931.35      1222.08      4153.43 
   1922       92         2164.41       860.31      3024.72 
   1922       93         1506.36       589.61      2095.96 
   1922       94         1031.43       395.17      1426.60 
   1922       95          700.80       255.87       956.67 
   1922       96          468.12       161.50       629.62 
   1922       97          301.52       102.66       404.18 
   1922       98          183.23        65.66       248.89 
   1922       99          108.75        36.22       144.96 
   1922      100           68.07        19.85        87.92 
   1922      101           43.25        12.08        55.33 
   1922      102           24.19         7.37        31.56 
   1922      103           13.11         4.00        17.12 
   1922      104            7.90         1.42         9.32 
   1922      105            4.76         0.74         5.50 
   1922      106            2.21         0.24         2.45 
   1922      107            0.48         0.00         0.48 
   1922      108            0.00         0.00         0.00 
   1922      109            0.00         0.00         0.00 
   1922      110           0.00         0.00         0.00 
   1923        0       427255.29    441825.66    869080.96 
   1923        1       431516.10    441866.21    873382.32 
   1923        2       446099.95    456828.15    902928.10 
   1923        3       424806.56    435947.99    860754.55 
   1923        4       357474.35    365584.63    723058.99 
   1923        5       324025.80    329434.65    653460.45 
   1923        6       347612.21    353296.31    700908.53 
   1923        7       378223.08    383500.59    761723.66 
   1923        8       403174.90    405739.60    808914.50 
   1923        9       417050.32    417791.15    834841.47 
   1923       10       417205.92    418954.02    836159.93 
   1923       11       414503.44    417394.18    831897.62 
   1923       12       415940.15    417658.46    833598.61 
   1923       13       421584.18    421545.45    843129.63 
   1923       14       427115.72    425370.80    852486.52 
   1923       15       427560.77    423927.60    851488.37 
   1923       16       423022.89    418594.89    841617.79 
   1923       17       418714.08    413496.59    832210.67 
   1923       18       415297.33    407144.95    822442.27 
   1923       19       411778.79    399640.17    811418.95 
   1923       20       409079.65    392395.62    801475.28 
   1923       21       404477.29    380300.90    784778.19 
   1923       22       400681.94    366907.55    767589.48 
   1923       23       397326.02    353001.51    750327.53 
   1923       24       389769.67    333773.31    723542.98 
   1923       25       385983.03    320807.06    706790.09 
   1923       26       383620.91    314804.64    698425.55 
   1923       27       378816.91    310630.52    689447.43 
   1923       28       372451.95    307497.84    679949.79 
   1923       29       367535.70    305182.51    672718.21 
   1923       30       364596.46    303928.79    668525.24 
