   Year      Age       Female          Male         Total
   1933        0       965303.00    997735.13   1963038.13 
   1933        1      1005773.86   1028926.84   2034700.70 
   1933        2      1077549.59   1100519.76   2178069.35 
   1933        3      1101794.00   1128155.34   2229949.34 
   1933        4      1118327.08   1156106.87   2274433.95 
   1933        5      1155442.54   1212990.41   2368432.96 
   1933        6      1179393.29   1231712.01   2411105.29 
   1933        7      1196259.90   1240434.05   2436693.95 
   1933        8      1213611.31   1249385.84   2462997.15 
   1933        9      1227038.15   1253920.38   2480958.54 
   1933       10      1236716.17   1257681.73   2494397.90 
   1933       11      1246816.41   1264925.74   2511742.15 
   1933       12      1237992.00   1254860.42   2492852.42 
   1933       13      1216487.07   1229827.98   2446315.05 
   1933       14      1197058.10   1205775.31   2402833.41 
   1933       15      1182135.76   1186650.36   2368786.12 
   1933       16      1173010.92   1173003.22   2346014.14 
   1933       17      1168279.78   1163471.57   2331751.36 
   1933       18      1164102.04   1154721.70   2318823.74 
   1933       19      1158501.89   1144875.83   2303377.72 
   1933       20      1150966.11   1133198.74   2284164.85 
   1933       21      1140890.65   1118996.36   2259887.01 
   1933       22      1128567.58   1102706.25   2231273.83 
   1933       23      1115220.55   1085725.66   2200946.21 
   1933       24      1101246.21   1068816.74   2170062.95 
   1933       25      1085512.98   1051754.16   2137267.15 
   1933       26      1067247.70   1034397.74   2101645.44 
   1933       27      1047143.96   1017017.29   2064161.25 
   1933       28      1026540.44   1000033.40   2026573.84 
   1933       29      1006095.68    983643.30   1989738.98 
   1933       30       986088.04    967829.98   1953918.01 
   1933       31       966775.96    952589.93   1919365.89 
   1933       32       948038.58    937916.60   1885955.19 
   1933       33       929037.77    923266.39   1852304.15 
   1933       34       910424.36    909373.75   1819798.11 
   1933       35       896154.55    900193.62   1796348.17 
   1933       36       889404.66    898887.79   1788292.45 
   1933       37       888491.11    903635.28   1792126.39 
   1933       38       889694.74    910484.28   1800179.02 
   1933       39       889792.60    916094.24   1805886.84 
   1933       40       883394.69    915256.14   1798650.83 
   1933       41       866011.89    903620.98   1769632.87 
   1933       42       839715.73    883127.57   1722843.31 
   1933       43       810068.61    859114.78   1669183.39 
   1933       44       780283.30    834457.49   1614740.78 
   1933       45       752576.72    810527.85   1563104.57 
   1933       46       728735.59    788392.28   1517127.87 
   1933       47       707847.45    767372.31   1475219.76 
   1933       48       687336.78    745728.32   1433065.10 
   1933       49       666255.53    723032.78   1389288.31 
   1933       50       645113.02    700087.53   1345200.55 
   1933       51       624381.29    677626.68   1302007.98 
   1933       52       604183.77    655697.29   1259881.06 
   1933       53       584526.65    634061.28   1218587.93 
   1933       54       565069.06    612263.81   1177332.86 
   1933       55       544855.80    589307.72   1134163.52 
   1933       56       523168.37    564497.76   1087666.13 
   1933       57       500366.98    538326.96   1038693.94 
   1933       58       477261.85    511742.14    989003.99 
   1933       59       454450.15    485451.43    939901.57 
   1933       60       432831.11    460615.93    893447.04 
   1933       61       412996.80    438057.35    851054.15 
   1933       62       394464.79    417238.00    811702.79 
   1933       63       376448.08    397095.60    773543.68 
   1933       64       358587.68    377048.91    735636.59 
   1933       65       340237.65    356337.61    696575.27 
   1933       66       320835.56    334322.51    655158.07 
   1933       67       300755.95    311414.09    612170.04 
   1933       68       280642.24    288467.36    569109.61 
   1933       69       260882.48    266065.82    526948.30 
   1933       70       242066.04    245023.27    487089.31 
   1933       71       224706.77    226033.03    450739.79 
   1933       72       208625.34    208808.06    417433.40 
   1933       73       193272.84    192528.42    385801.25 
   1933       74       179029.67    177345.10    356374.77 
   1933       75       166314.38    163448.51    329762.89 
   1933       76       148739.95    144666.36    293406.31 
   1933       77       131592.95    126433.95    258026.90 
   1933       78       115248.93    109191.86    224440.79 
   1933       79       100166.30     93367.43    193533.73 
   1933       80        89031.55     79326.12    168357.68 
   1933       81        76606.46     66857.09    143463.54 
   1933       82        65580.29     56007.77    121588.06 
   1933       83        55684.78     46497.71    102182.49 
   1933       84        46694.77     38118.91     84813.69 
   1933       85        38597.44     30790.67     69388.11 
   1933       86        31456.08     24510.66     55966.74 
   1933       87        25254.41     19204.72     44459.12 
   1933       88        20010.91     14801.58     34812.49 
   1933       89        15654.42     11224.86     26879.28 
   1933       90        12078.91      8380.15     20459.06 
   1933       91         9242.38      6189.27     15431.65 
   1933       92         6998.31      4526.49     11524.81 
   1933       93         5224.45      3287.57      8512.01 
   1933       94         3855.16      2368.99      6224.16 
   1933       95         2825.06      1681.01      4506.07 
   1933       96         2063.55      1180.05      3243.60 
   1933       97         1512.04       837.31      2349.34 
   1933       98         1135.38       633.34      1768.72 
   1933       99          884.87       498.00      1382.88 
   1933      100          660.96       361.19      1022.15 
   1933      101          455.51       244.48       699.99 
   1933      102          309.40       163.94       473.35 
   1933      103          207.16       107.53       314.69 
   1933      104          137.22        69.44       206.66 
   1933      105           89.36        44.42       133.78 
   1933      106           56.91        28.14        85.06 
   1933      107           35.88        17.81        53.69 
   1933      108           22.82        10.63        33.45 
   1933      109           14.09         6.05        20.14 
   1933      110          15.77         6.26        22.02 
   1934        0       943511.15    977055.05   1920566.20 
   1934        1       952353.53    974944.83   1927298.36 
   1934        2      1042978.68   1063612.70   2106591.38 
   1934        3      1083175.73   1108235.03   2191410.77 
   1934        4      1100191.41   1126153.12   2226344.54 
   1934        5      1135816.85   1184016.57   2319833.43 
   1934        6      1154647.91   1209149.06   2363796.98 
   1934        7      1178053.53   1227687.19   2405740.72 
   1934        8      1195374.59   1237333.72   2432708.30 
   1934        9      1212889.07   1246694.09   2459583.15 
   1934       10      1226133.86   1251674.33   2477808.20 
   1934       11      1237105.68   1256777.92   2493883.60 
   1934       12      1245486.97   1261891.00   2507377.98 
   1934       13      1235983.20   1249877.10   2485860.30 
   1934       14      1215400.10   1224757.85   2440157.95 
   1934       15      1196378.17   1200329.34   2396707.52 
   1934       16      1181440.33   1180466.85   2361907.19 
   1934       17      1172126.47   1166456.56   2338583.03 
   1934       18      1167072.14   1157051.13   2324123.27 
   1934       19      1162536.83   1148643.51   2311180.34 
   1934       20      1156605.62   1139189.27   2295794.90 
   1934       21      1148605.39   1127817.17   2276422.56 
   1934       22      1137802.13   1113742.68   2251544.81 
   1934       23      1124537.35   1097411.18   2221948.53 
   1934       24      1110204.24   1080389.27   2190593.51 
   1934       25      1095198.10   1063469.48   2158667.58 
   1934       26      1078705.68   1046489.55   2125195.23 
   1934       27      1060377.16   1029461.76   2089838.92 
   1934       28      1040937.98   1012661.34   2053599.33 
   1934       29      1021282.41    996324.61   2017607.02 
   1934       30      1001804.38    980537.39   1982341.77 
   1934       31       982651.36    965236.70   1947888.07 
   1934       32       963862.57    950334.49   1914197.06 
   1934       33       945233.38    935760.41   1880993.79 
   1934       34       926143.92    921071.09   1847215.01 
   1934       35       907503.84    907158.80   1814662.63 
   1934       36       893026.41    897750.18   1790776.59 
   1934       37       885604.31    895697.11   1781301.42 
   1934       38       883560.99    899205.79   1782766.77 
   1934       39       883483.44    904615.04   1788098.48 
   1934       40       882202.54    908666.88   1790869.42 
   1934       41       874699.90    906546.01   1781245.91 
   1934       42       857032.14    894472.24   1751504.38 
   1934       43       831313.20    874407.99   1705721.19 
   1934       44       802536.26    851140.18   1653676.44 
   1934       45       773705.99    827267.83   1600973.82 
   1934       46       746691.47    803875.29   1550566.76 
   1934       47       722850.65    781512.85   1504363.51 
   1934       48       701213.44    759464.44   1460677.88 
   1934       49       679702.71    736524.11   1416226.83 
   1934       50       657639.61    712557.10   1370196.71 
   1934       51       635655.23    688477.10   1324132.33 
   1934       52       614478.64    665203.67   1279682.30 
   1934       53       594265.29    642853.58   1237118.87 
   1934       54       574774.35    620973.24   1195747.59 
   1934       55       555459.02    598911.28   1154370.29 
   1934       56       535480.75    575851.78   1111332.53 
   1934       57       514254.34    551302.95   1065557.29 
   1934       58       492086.45    525710.61   1017797.06 
   1934       59       469648.95    499797.21    969446.16 
   1934       60       447525.07    474230.93    921756.00 
   1934       61       426388.14    449946.15    876334.29 
   1934       62       406478.91    427412.51    833891.42 
