   Year      Age       Female          Male         Total
   1959        0       407518.29    430021.04    837539.33 
   1959        1       389902.07    409400.70    799302.76 
   1959        2       389156.78    407247.75    796404.53 
   1959        3       385514.99    403103.88    788618.87 
   1959        4       387877.46    405232.68    793110.14 
   1959        5       383971.93    400534.90    784506.83 
   1959        6       380633.36    397847.54    778480.90 
   1959        7       380843.88    398642.01    779485.89 
   1959        8       383147.57    398251.83    781399.40 
   1959        9       388502.77    400154.50    788657.27 
   1959       10       383058.55    393399.02    776457.57 
   1959       11       340122.03    350570.98    690693.01 
   1959       12       313779.28    322673.03    636452.31 
   1959       13       266254.29    273734.03    539988.32 
   1959       14       227827.46    233391.28    461218.75 
   1959       15       239287.02    241133.49    480420.51 
   1959       16       264021.34    262800.90    526822.24 
   1959       17       337818.34    332501.18    670319.52 
   1959       18       406523.64    397173.07    803696.71 
   1959       19       433624.72    423020.40    856645.12 
   1959       20       476866.05    449364.18    926230.23 
   1959       21       499240.10    469805.25    969045.35 
   1959       22       465030.24    442395.87    907426.11 
   1959       23       396821.52    384394.52    781216.04 
   1959       24       322460.96    324708.68    647169.64 
   1959       25       276971.77    272403.22    549374.98 
   1959       26       295223.06    276033.84    571256.90 
   1959       27       326340.14    303941.27    630281.41 
   1959       28       381285.94    354627.94    735913.88 
   1959       29       414499.49    377837.46    792336.94 
   1959       30       439325.51    388549.64    827875.15 
   1959       31       438591.04    384009.49    822600.54 
   1959       32       422561.85    346795.04    769356.90 
   1959       33       426273.98    314408.10    740682.08 
   1959       34       410128.53    281977.75    692106.28 
   1959       35       397026.53    261347.49    658374.02 
   1959       36       369165.95    232045.13    601211.08 
   1959       37       324092.16    201484.28    525576.44 
   1959       38       294910.14    187446.18    482356.32 
   1959       39       275455.42    172101.01    447556.43 
   1959       40       283416.49    174764.71    458181.20 
   1959       41       245296.32    152421.84    397718.16 
   1959       42       207509.33    127458.93    334968.26 
   1959       43       248555.09    149059.49    397614.58 
   1959       44       316470.96    185099.68    501570.63 
   1959       45       357583.82    210197.08    567780.89 
   1959       46       365565.02    217466.97    583031.99 
   1959       47       346269.83    210049.49    556319.32 
   1959       48       348930.88    212332.44    561263.32 
   1959       49       334576.01    204637.10    539213.11 
   1959       50       309194.50    195318.92    504513.42 
   1959       51       302477.26    193473.31    495950.57 
   1959       52       284633.56    187149.24    471782.80 
   1959       53       279927.14    178713.88    458641.02 
   1959       54       268005.61    167098.94    435104.55 
   1959       55       280359.50    164589.13    444948.63 
   1959       56       279682.70    154518.07    434200.77 
   1959       57       235546.70    127986.87    363533.57 
   1959       58       261269.86    131060.36    392330.22 
   1959       59       245777.05    128214.76    373991.82 
   1959       60       206541.74    116593.89    323135.64 
   1959       61       194864.87    111088.44    305953.31 
   1959       62       177649.79    106370.40    284020.19 
   1959       63       188432.09    109752.60    298184.68 
   1959       64       178232.84    102365.74    280598.59 
